"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Neutral","2",1.27374910004437,12
2,"Neutral","3",2.40057419997174,15
3,"Untrustworthy","3",2.1952653999906,3
4,"Neutral","3",2.15080149995629,15
5,"Untrustworthy","1",2.35064710001461,9
6,"Trustworthy","2",2.68106560001615,12
7,"Trustworthy","3",2.66704500000924,15
8,"Untrustworthy","2",2.41748579998966,12
9,"Untrustworthy","3",3.63544679991901,3
10,"Untrustworthy","1",1.76718610001262,9
11,"Trustworthy","3",2.70062589994632,15
12,"Trustworthy","4",1.08383520005737,18
13,"Untrustworthy","2",2.90086319996044,6
14,"Untrustworthy","1",3.40048020007089,9
15,"Neutral","3",2.81733140000142,15
16,"Trustworthy","4",0.818527899915352,18
17,"Neutral","3",2.66689809993841,15
18,"Neutral","3",2.88410599995404,15
19,"Untrustworthy","2",2.7505740999477,6
20,"Trustworthy","4",1.43406070000492,18
21,"Untrustworthy","1",1.40071339998394,9
22,"Trustworthy","4",2.08374010003172,18
23,"Trustworthy","3",2.23401739995461,15
24,"Trustworthy","4",1.43390280008316,18
25,"Neutral","3",1.51701730000786,15
26,"Untrustworthy","1",0.934189899940975,9
27,"Neutral","4",2.4175014999928,0
28,"Trustworthy","4",1.63500679994468,18
29,"Trustworthy","4",1.90040260006208,18
30,"Neutral","2",1.98394610011019,6
31,"Trustworthy","None",NA,9
32,"Untrustworthy","1",1.7670854999451,9
33,"Neutral","2",2.25061660003848,12
34,"Untrustworthy","1",2.3170162999304,9
35,"Untrustworthy","2",2.18385080003645,6
36,"Trustworthy","4",0.917001800029539,18
37,"Neutral","None",NA,9
38,"Trustworthy","4",1.06781169993337,18
39,"Trustworthy","4",1.10045969998464,18
40,"Neutral","2",1.5843510000268,12
41,"Untrustworthy","1",1.8339320999803,9
42,"Neutral","3",1.98340119991917,15
43,"Neutral","3",2.60069990006741,15
44,"Neutral","1",1.81743110006209,9
45,"Untrustworthy","1",1.20054939994588,9
