"trial_number","trial_type","response_key","response_time","trial_earnings","id","grp","amount_shared","agegrp","respond"
1,"Trustworthy","2",2.40173682034947,12,"sub-1004",1,3,"Younger",1
2,"Untrustworthy","3",2.51287738722749,3,"sub-1004",1,6,"Younger",1
3,"Trustworthy","2",2.0503962317016,12,"sub-1004",1,3,"Younger",1
4,"Neutral","2",1.94376980443485,6,"sub-1004",1,3,"Younger",1
5,"Untrustworthy","3",1.63334490079433,3,"sub-1004",1,6,"Younger",1
6,"Neutral","2",1.7339979861863,12,"sub-1004",1,3,"Younger",1
7,"Neutral","3",1.81738640693948,15,"sub-1004",1,6,"Younger",1
8,"Untrustworthy","2",3.00170098035596,6,"sub-1004",1,3,"Younger",1
9,"Neutral","2",2.55038257851265,12,"sub-1004",1,3,"Younger",1
10,"Untrustworthy","2",2.10057116532698,6,"sub-1004",1,3,"Younger",1
11,"Untrustworthy","1",0.967289411230013,9,"sub-1004",1,0,"Younger",1
12,"Neutral","4",2.06708517973311,18,"sub-1004",1,9,"Younger",1
13,"Untrustworthy","1",2.0006604809314,9,"sub-1004",1,0,"Younger",1
14,"Untrustworthy","3",2.30039310292341,3,"sub-1004",1,6,"Younger",1
15,"Neutral","4",1.33392175473273,18,"sub-1004",1,9,"Younger",1
16,"Trustworthy","3",2.20062407199293,15,"sub-1004",1,6,"Younger",1
17,"Trustworthy","3",1.93373231450096,15,"sub-1004",1,6,"Younger",1
18,"Neutral","4",1.36752663832158,0,"sub-1004",1,9,"Younger",1
19,"Neutral","1",1.23421359527856,9,"sub-1004",1,0,"Younger",1
20,"Trustworthy","3",2.40051655168645,15,"sub-1004",1,6,"Younger",1
21,"Trustworthy","4",1.55064654326998,18,"sub-1004",1,9,"Younger",1
22,"Untrustworthy","1",1.51610071631148,9,"sub-1004",1,0,"Younger",1
23,"Neutral","3",2.58396470593289,15,"sub-1004",1,6,"Younger",1
24,"Untrustworthy","2",1.8502642493695,6,"sub-1004",1,3,"Younger",1
25,"Untrustworthy","2",1.90056433854625,6,"sub-1004",1,3,"Younger",1
26,"Neutral","3",2.46696514403448,15,"sub-1004",1,6,"Younger",1
27,"Trustworthy","4",1.28376843919978,18,"sub-1004",1,9,"Younger",1
28,"Untrustworthy","1",1.21696884208359,9,"sub-1004",1,0,"Younger",1
29,"Trustworthy","4",1.60052508511581,18,"sub-1004",1,9,"Younger",1
30,"Trustworthy","4",1.63472104491666,18,"sub-1004",1,9,"Younger",1
31,"Neutral","4",1.80064739659429,18,"sub-1004",1,9,"Younger",1
32,"Trustworthy","4",1.35033137816936,0,"sub-1004",1,9,"Younger",1
33,"Untrustworthy","1",1.3505390228238,9,"sub-1004",1,0,"Younger",1
34,"Neutral","4",1.48349025193602,18,"sub-1004",1,9,"Younger",1
35,"Trustworthy","2",1.01724646007642,12,"sub-1004",1,3,"Younger",1
36,"Untrustworthy","1",1.00064796535298,9,"sub-1004",1,0,"Younger",1
37,"Neutral","4",1.55062037403695,18,"sub-1004",1,9,"Younger",1
38,"Untrustworthy","1",1.08382646599784,9,"sub-1004",1,0,"Younger",1
39,"Neutral","4",0.850513991899788,18,"sub-1004",1,9,"Younger",1
40,"Trustworthy","3",1.7504252451472,15,"sub-1004",1,6,"Younger",1
41,"Neutral","4",0.967047633137554,0,"sub-1004",1,9,"Younger",1
42,"Trustworthy","4",1.45082915667444,18,"sub-1004",1,9,"Younger",1
43,"Untrustworthy","2",2.26731046009809,6,"sub-1004",1,3,"Younger",1
44,"Trustworthy","4",2.06722057564184,18,"sub-1004",1,9,"Younger",1
45,"Trustworthy","4",1.10053532524034,0,"sub-1004",1,9,"Younger",1
1,"Neutral","1",3.05027392040938,9,"sub-1005",1,0,"Younger",1
2,"Neutral","2",2.63373800349655,6,"sub-1005",1,3,"Younger",1
3,"Neutral","1",2.78352495434228,9,"sub-1005",1,0,"Younger",1
4,"Neutral","1",0.800504605169408,9,"sub-1005",1,0,"Younger",1
5,"Untrustworthy","2",2.5289513656171,6,"sub-1005",1,3,"Younger",1
6,"Untrustworthy","2",1.55042695172597,6,"sub-1005",1,3,"Younger",1
7,"Untrustworthy","1",0.550074240076356,9,"sub-1005",1,0,"Younger",1
8,"Trustworthy","3",2.22984338464448,15,"sub-1005",1,6,"Younger",1
9,"Untrustworthy","1",2.76847839070251,9,"sub-1005",1,0,"Younger",1
10,"Neutral","2",1.76704649534076,12,"sub-1005",1,3,"Younger",1
11,"Untrustworthy","2",2.05130929959705,6,"sub-1005",1,3,"Younger",1
12,"Trustworthy","2",2.20113721053349,12,"sub-1005",1,3,"Younger",1
13,"Untrustworthy","1",1.20042723615188,9,"sub-1005",1,0,"Younger",1
14,"Neutral","3",2.66708631761139,15,"sub-1005",1,6,"Younger",1
15,"Trustworthy","4",2.53363446565345,18,"sub-1005",1,9,"Younger",1
16,"Neutral","1",0.600386276084464,9,"sub-1005",1,0,"Younger",1
17,"Trustworthy","2",1.50066730764229,12,"sub-1005",1,3,"Younger",1
18,"Neutral","3",1.61682548170211,3,"sub-1005",1,6,"Younger",1
19,"Trustworthy","3",3.00056206306908,15,"sub-1005",1,6,"Younger",1
20,"Neutral","3",1.58370472345268,3,"sub-1005",1,6,"Younger",1
21,"Trustworthy","4",2.21706157096196,18,"sub-1005",1,9,"Younger",1
22,"Untrustworthy","1",1.00055352965137,9,"sub-1005",1,0,"Younger",1
23,"Trustworthy","3",3.23368168348679,15,"sub-1005",1,6,"Younger",1
24,"Trustworthy","3",2.21725385566242,15,"sub-1005",1,6,"Younger",1
25,"Neutral","2",1.26708005985711,12,"sub-1005",1,3,"Younger",1
26,"Trustworthy","4",1.78396470606094,18,"sub-1005",1,9,"Younger",1
27,"Trustworthy","3",2.00054385856492,15,"sub-1005",1,6,"Younger",1
28,"Neutral","2",0.982990198011976,12,"sub-1005",1,3,"Younger",1
29,"Untrustworthy","2",1.73473469831515,6,"sub-1005",1,3,"Younger",1
30,"Trustworthy","3",1.71715657552704,15,"sub-1005",1,6,"Younger",1
31,"Untrustworthy","1",0.96724219340831,9,"sub-1005",1,0,"Younger",1
32,"Neutral","2",3.26663518807618,6,"sub-1005",1,3,"Younger",1
33,"Neutral","1",1.13353718543658,9,"sub-1005",1,0,"Younger",1
34,"Trustworthy","4",0.700460800668225,18,"sub-1005",1,9,"Younger",1
35,"Untrustworthy","1",0.750401920580771,9,"sub-1005",1,0,"Younger",1
36,"Trustworthy","4",1.4336714434321,18,"sub-1005",1,9,"Younger",1
37,"Neutral","1",1.95053048961563,9,"sub-1005",1,0,"Younger",1
38,"Untrustworthy","1",0.917432487010956,9,"sub-1005",1,0,"Younger",1
39,"Untrustworthy","1",1.20033450715709,9,"sub-1005",1,0,"Younger",1
