onset,duration,event,trial_type,response_time,response_key,stim_file,trial_earnings
0,NaN,Decision,Untrustworthy,NaN,NaN,images/C1f01.jpg,9
3.9931669,6,Response,Untrustworthy,NaN,NaN,images/C1f01.jpg,9
9.9930033,2,Thinking,Untrustworthy,NaN,NaN,images/C1f01.jpg,9
10.0049046,2,Feedback,Untrustworthy,NaN,NaN,images/C1f01.jpg,9
14.0126367,1.1509778,Decision,Trustworthy,1.1509778,2,images/B1f01.jpg,12
15.1771478,4.8490222,Response,Trustworthy,1.1509778,2,images/B1f01.jpg,12
20.0261292,2,Thinking,Trustworthy,1.1509778,2,images/B1f01.jpg,12
22.029259,2,Feedback,Trustworthy,1.1509778,2,images/B1f01.jpg,12
28.0298849,1.5020051,Decision,Untrustworthy,1.5020051,2,images/C1f01.jpg,6
29.5452072,4.4979949,Response,Untrustworthy,1.5020051,2,images/C1f01.jpg,6
34.043229,2,Thinking,Untrustworthy,1.5020051,2,images/C1f01.jpg,6
36.0461941,2,Feedback,Untrustworthy,1.5020051,2,images/C1f01.jpg,6
46.0468693,2.1171537,Decision,Untrustworthy,2.1171537,2,images/C1f01.jpg,6
48.1775253,3.8828463,Response,Untrustworthy,2.1171537,2,images/C1f01.jpg,6
52.0604147,2,Thinking,Untrustworthy,2.1171537,2,images/C1f01.jpg,6
54.0634687,2,Feedback,Untrustworthy,2.1171537,2,images/C1f01.jpg,6
68.0645788,1.7005056,Decision,Neutral,1.7005056,2,images/A1f01.jpg,12
69.7781821,4.2994944,Response,Neutral,1.7005056,2,images/A1f01.jpg,12
74.0775472,2,Thinking,Neutral,1.7005056,2,images/A1f01.jpg,12
76.08048,2,Feedback,Neutral,1.7005056,2,images/A1f01.jpg,12
82.0812596,1.6506262,Decision,Untrustworthy,1.6506262,1,images/C1f01.jpg,9
83.7452241,8.3493738,Response,Untrustworthy,1.6506262,1,images/C1f01.jpg,9
92.0947851,2,Thinking,Untrustworthy,1.6506262,1,images/C1f01.jpg,9
92.105212,2,Feedback,Untrustworthy,1.6506262,1,images/C1f01.jpg,9
96.1149346,1.3504953,Decision,Neutral,1.3504953,3,images/A1f01.jpg,15
97.4789933,4.6495047,Response,Neutral,1.3504953,3,images/A1f01.jpg,15
102.1285939,2,Thinking,Neutral,1.3504953,3,images/A1f01.jpg,15
104.1316563,2,Feedback,Neutral,1.3504953,3,images/A1f01.jpg,15
118.132838,1.500486,Decision,Untrustworthy,1.500486,1,images/C1f01.jpg,9
119.6461985,8.499514,Response,Untrustworthy,1.500486,1,images/C1f01.jpg,9
128.1458723,2,Thinking,Untrustworthy,1.500486,1,images/C1f01.jpg,9
128.156596,2,Feedback,Untrustworthy,1.500486,1,images/C1f01.jpg,9
132.1659086,NaN,Decision,Trustworthy,NaN,NaN,images/B1f01.jpg,9
136.162784,6,Response,Trustworthy,NaN,NaN,images/B1f01.jpg,9
142.1629528,2,Thinking,Trustworthy,NaN,NaN,images/B1f01.jpg,9
142.1740298,2,Feedback,Trustworthy,NaN,NaN,images/B1f01.jpg,9
148.1825364,1.167458,Decision,Neutral,1.167458,3,images/A1f01.jpg,15
149.3638528,4.832542,Response,Neutral,1.167458,3,images/A1f01.jpg,15
154.196586,2,Thinking,Neutral,1.167458,3,images/A1f01.jpg,15
156.1992668,2,Feedback,Neutral,1.167458,3,images/A1f01.jpg,15
168.2005502,2.7005867,Decision,Neutral,2.7005867,4,images/A1f01.jpg,0
170.9144327,3.2994133,Response,Neutral,2.7005867,4,images/A1f01.jpg,0
174.213902,2,Thinking,Neutral,2.7005867,4,images/A1f01.jpg,0
176.2169186,2,Feedback,Neutral,2.7005867,4,images/A1f01.jpg,0
182.2177771,1.0673045,Decision,Untrustworthy,1.0673045,1,images/C1f01.jpg,9
183.2981824,8.9326955,Response,Untrustworthy,1.0673045,1,images/C1f01.jpg,9
192.2311556,2,Thinking,Untrustworthy,1.0673045,1,images/C1f01.jpg,9
192.2415953,2,Feedback,Untrustworthy,1.0673045,1,images/C1f01.jpg,9
196.251097,1.6336705,Decision,Neutral,1.6336705,3,images/A1f01.jpg,3
197.8982514,4.3663295,Response,Neutral,1.6336705,3,images/A1f01.jpg,3
202.2646885,2,Thinking,Neutral,1.6336705,3,images/A1f01.jpg,3
204.2675961,2,Feedback,Neutral,1.6336705,3,images/A1f01.jpg,3
210.2682465,1.1505507,Decision,Trustworthy,1.1505507,3,images/B1f01.jpg,15
211.4323405,4.8494493,Response,Trustworthy,1.1505507,3,images/B1f01.jpg,15
216.2817152,2,Thinking,Trustworthy,1.1505507,3,images/B1f01.jpg,15
218.2847032,2,Feedback,Trustworthy,1.1505507,3,images/B1f01.jpg,15
230.2864081,2.0840215,Decision,Neutral,2.0840215,2,images/A1f01.jpg,12
232.3828275,3.9159785,Response,Neutral,2.0840215,2,images/A1f01.jpg,12
236.2989825,2,Thinking,Neutral,2.0840215,2,images/A1f01.jpg,12
238.3014458,2,Feedback,Neutral,2.0840215,2,images/A1f01.jpg,12
244.3021152,1.7838862,Decision,Neutral,1.7838862,2,images/A1f01.jpg,12
246.0999061,4.2161138,Response,Neutral,1.7838862,2,images/A1f01.jpg,12
250.3161505,2,Thinking,Neutral,1.7838862,2,images/A1f01.jpg,12
252.3186337,2,Feedback,Neutral,1.7838862,2,images/A1f01.jpg,12
258.319183,0.935203,Decision,Untrustworthy,0.935203,2,images/C1f01.jpg,6
259.2682163,5.064797,Response,Untrustworthy,0.935203,2,images/C1f01.jpg,6
264.3333144,2,Thinking,Untrustworthy,0.935203,2,images/C1f01.jpg,6
266.3359281,2,Feedback,Untrustworthy,0.935203,2,images/C1f01.jpg,6
272.3366255,1.4672693,Decision,Neutral,1.4672693,2,images/A1f01.jpg,12
