"","id","n_resp","agegrp"
"1","sub-1004",45,1
"2","sub-1005",45,1
"3","sub-1006",43,1
"4","sub-1007",45,1
"5","sub-1008",44,1
"6","sub-1009",44,1
"7","sub-1010",45,1
"8","sub-1012",44,1
"9","sub-1013",45,1
"10","sub-1014",45,1
"11","sub-1015",43,1
"12","sub-1016",45,1
"13","sub-1017",43,1
"14","sub-1018",45,1
"15","sub-1019",45,1
"16","sub-1020",45,1
"17","sub-1021",45,1
"18","sub-1022",45,1
"19","sub-1023",45,1
"20","sub-1024",44,1
"21","sub-1025",44,1
"22","sub-1026",44,1
"23","sub-1028",45,1
"24","sub-1029",43,1
"25","sub-1030",44,1
"26","sub-1032",44,1
"27","sub-1033",44,1
"28","sub-1034",45,1
"29","sub-1035",44,1
"30","sub-1036",45,1
"31","sub-1037",43,1
"32","sub-1038",45,1
"33","sub-1039",43,1
"34","sub-2001",42,2
"35","sub-2002",45,2
"36","sub-2003",42,2
"37","sub-2004",45,2
"38","sub-2005",43,2
"39","sub-2006",44,2
"40","sub-2007",42,2
"41","sub-2009",45,2
"42","sub-2010",43,2
"43","sub-2011",44,2
"44","sub-2012",45,2
"45","sub-2013",44,2
"46","sub-2018",44,2
"47","sub-2019",43,2
"48","sub-2020",44,2
"49","sub-2021",44,2
"50","sub-2022",44,2
"51","sub-2023",44,2
"52","sub-2024",43,2
"53","sub-2025",44,2
"54","sub-2026",45,2
"55","sub-2027",45,2
"56","sub-2030",42,2
"57","sub-2031",44,2
"58","sub-2033",44,2
"59","sub-2034",45,2
"60","sub-2036",45,2
"61","sub-2037",42,2
"62","sub-2038",45,2
"63","sub-2039",43,2
