Subject,alpha,beta
1.0,0.007989039727461374,20.0
2.0,0.0,1e-10
3.0,0.0,1e-10
4.0,0.0,0.38384356337688924
5.0,0.0,0.35004830697360256
6.0,1.0,0.13987254154895085
7.0,0.0,0.17400718998403863
8.0,1.0,0.25787349640692614
9.0,0.0,1e-10
10.0,0.0,1e-10
11.0,0.007764695631233171,20.0
12.0,0.07200623141221775,0.6203655674698059
13.0,0.0,1e-10
14.0,1.0,6.273666993796979
15.0,0.0,1e-10
16.0,0.19416493154038886,0.7203800505143151
17.0,0.0,1e-10
18.0,0.0,1e-10
19.0,0.004735056484884803,20.0
20.0,0.18480086094538165,0.7568825084275534
21.0,1.0,8.609506310812298
22.0,0.04817497396960882,0.9272487450919751
23.0,0.0,1e-10
24.0,0.0,1e-10
25.0,0.0,1e-10
26.0,1.0,0.3373336955723893
27.0,0.0,1e-10
28.0,1.0,0.13987254334743138
29.0,0.0,1e-10
30.0,0.0,1e-10
31.0,0.7781660287248024,1e-10
32.0,0.0,0.2926101514726782
33.0,0.0022564022585317605,20.0
34.0,0.016207070784742664,20.0
35.0,0.0,1e-10
36.0,0.0,1e-10
37.0,1.0,0.044670186617656385
38.0,1.0,0.04467019031544355
39.0,0.0005654630201111122,15.63133563209796
40.0,1.0,8.292739660470112
41.0,0.0,1e-10
42.0,1.0,0.139872538448971
43.0,0.0,1e-10
44.0,1.0,0.04467019147461828
45.0,0.0,1e-10
46.0,0.45571177348461994,0.984696916985559
47.0,1.0,0.13987254431170656
48.0,0.0022564016257388647,20.0
49.0,0.31695602251403965,0.05426262233674861
50.0,0.0,1e-10
51.0,0.0,1e-10
52.0,0.2841775310514487,0.15719114567727507
53.0,1.0,0.13987253109542197
54.0,0.9927625041704701,0.2581766351691249
55.0,0.20066149757841265,0.6970572637110161
56.0,0.4546152902767432,0.09825932857316735
57.0,0.007764694894163629,20.0
58.0,1.0,0.04467019277173003
59.0,0.0,1e-10
60.0,0.30466395370118987,0.45910435840411173
61.0,0.5239344687587236,0.6438471058852634
62.0,0.986826384021994,0.141739765837167
63.0,0.0013401557536657296,20.0
64.0,0.010710553077438605,20.0
65.0,0.0,1e-10
66.0,0.00472237458993371,20.0
67.0,0.7319873005261412,0.19108601538761297
68.0,0.0,1e-10
69.0,0.0,1e-10
70.0,1.0,0.13987254173894367
71.0,0.007668716330749513,20.0
72.0,1.0,0.13987253139571332
73.0,0.0,1e-10
74.0,1.0,0.04467019025477629
75.0,1.0,0.044670188221081666
76.0,0.30760313566843,0.4547175309843635
77.0,0.0,1e-10
78.0,0.0,1e-10
79.0,0.0,1e-10
80.0,0.0,1e-10
81.0,0.0,1e-10
82.0,0.0,1e-10
83.0,0.0,1e-10
84.0,0.0,1e-10
85.0,0.3040838408593708,0.4599801589962621
86.0,0.6100264497297997,0.35787669019636037
87.0,0.01208451651461298,20.0
88.0,0.0,0.2677091384862511
89.0,0.0,1e-10
90.0,0.0,1e-10
91.0,0.001340156598019474,19.99999999999255
92.0,1.0,0.13987253296366195
93.0,0.7241831340473828,0.46581269249737756
94.0,0.5696741719111801,0.5921519852227429
95.0,1.0,0.04467018834129574
96.0,1.0,0.13987253426290214
97.0,0.0,1e-10
98.0,0.0,0.10870642758427551
99.0,0.30960054726442526,0.8329232547647288
100.0,0.0,1e-10
101.0,0.0,1e-10
102.0,0.01620707176254651,20.0
103.0,0.9507179598857963,0.14712306625428354
104.0,0.0,0.7213489137896052
105.0,0.002728403424857575,20.0
106.0,0.007764693694498007,20.0
107.0,1.0,0.04467018985708057
108.0,1.0,0.04467019471462412
109.0,0.341371797505874,0.1308549601457464
110.0,0.9999999271073657,0.13987254355783038
111.0,0.0,1e-10
112.0,1.0,0.3373336870450267
113.0,0.0,1e-10
114.0,0.0,1e-10
115.0,0.0013401562635682598,20.0
116.0,0.0,1e-10
117.0,0.0027362795138513333,20.0
118.0,0.38455474766690056,0.36372596292376075
119.0,0.006887013527978214,20.0
120.0,0.0,1e-10
121.0,0.0,1e-10
122.0,0.0,1e-10
123.0,0.0,1e-10
124.0,0.0,0.5163852409973771
125.0,1.0,20.0
126.0,0.15971994022952346,0.875736209121966
127.0,1.0,0.13987253761626806
128.0,0.4377934996312315,0.31949433746987793
129.0,1.0,0.13987253607757327
130.0,0.0,1e-10
131.0,0.0077704124787073,20.0
132.0,0.06503171483639617,0.6868986504933113
133.0,0.4657472440540648,0.5536769199913665
134.0,1.0,0.04467018651770975
135.0,0.0,1e-10
136.0,1.0,0.04467019463267914
137.0,0.008206559703404856,20.0
138.0,0.81899630172628,1e-10
139.0,0.45722701371792335,0.9814336642352212
140.0,0.0,1e-10
141.0,0.4724784313294906,0.29604005332819644
142.0,0.0,0.6310337730403508
143.0,0.5025988549921622,0.671178786611106
144.0,0.0,1e-10
145.0,0.0,1e-10
146.0,0.8100441484586255,1e-10
147.0,0.007764695342500057,20.0
148.0,0.9103525001074725,0.49292772074640817
149.0,0.576332786298721,0.2426940521675927
150.0,0.0022459324042279215,20.0
151.0,0.0,1e-10
152.0,1.0,0.0446701912848889
153.0,0.0,1e-10
154.0,0.0,1e-10
155.0,0.0,1e-10
156.0,0.0,0.33198860274558767
157.0,0.0,1e-10
158.0,0.0,1e-10
159.0,0.0,1e-10
160.0,0.0,1e-10
161.0,0.0,1e-10
162.0,0.1536748896723279,0.9101846761500677
163.0,1.0,0.044670188530423816
164.0,0.0,1e-10
165.0,0.14276414080165986,0.9797456566019825
166.0,0.0,1e-10
167.0,0.4813636417825326,0.2905756233119824
168.0,0.0,1e-10
169.0,0.0,1e-10
170.0,0.518354722861199,0.2698394293792568
171.0,0.000574169350951293,15.468230997906227
172.0,0.0013401552988936815,20.0
173.0,0.0,1e-10
174.0,0.0,0.09852229097441091
175.0,0.0,1e-10
176.0,0.007764695509290415,20.0
177.0,0.012084515793607134,20.0
178.0,1.0,0.3373336941265691
179.0,1.0,0.06743666356333748
180.0,0.0,1e-10
181.0,0.14529437601441533,1.983122498188113
182.0,1.0,7.494985967379061
183.0,0.0,1e-10
184.0,1.0,0.04467018827972305
185.0,1.0,4.432131204998051
186.0,0.007764696097908916,20.0
187.0,0.15118317551665117,0.29547068384204517
188.0,0.0,1e-10
189.0,0.0,1e-10
190.0,0.0,0.6285500794391559
191.0,0.0,1e-10
192.0,1.0,0.13987254314761569
193.0,0.0,1e-10
194.0,0.0,1e-10
195.0,1.0,0.04467018705175468
196.0,0.0,1e-10
197.0,1.0,0.13987254620726502
198.0,0.0,1e-10
199.0,0.7468104006161524,0.18729324238566028
200.0,0.0,1e-10
201.0,0.0,1e-10
202.0,0.0,1e-10
203.0,0.0,1e-10
204.0,0.0,1e-10
205.0,0.0,0.8229891947499619
206.0,1.0,0.044670190819062205
207.0,0.0,1e-10
208.0,1.0,19.12645235217011
209.0,1.0,0.044670190514722576
210.0,0.0,1e-10
211.0,0.3325350878823105,1.0144303713506524
212.0,0.5390783504279837,0.6257600488872562
213.0,1.0,0.2578735007195908
214.0,1.0,0.4487379764392482
215.0,0.0,1e-10
216.0,0.0,1e-10
217.0,1.0,0.4487379823789562
218.0,0.0,1e-10
219.0,0.0,1e-10
220.0,0.0,1e-10
221.0,0.38331008628728236,1.1706918313578538
222.0,1.0,0.13987253740270877
223.0,1.0,0.06743666090343547
224.0,0.007764695778053586,20.0
225.0,0.0,1e-10
226.0,1.0,0.13987253583057405
227.0,0.0,1e-10
228.0,0.2513898755708748,0.5563968824519177
229.0,0.0,1e-10
230.0,0.0,1e-10
231.0,0.0,1e-10
232.0,0.3924820734419876,0.5485977096246986
233.0,0.0,0.5566099795610071
234.0,0.0865734625187208,20.0
235.0,0.0,1e-10
236.0,0.012084515975315561,20.0
237.0,0.0,1e-10
238.0,0.0,0.6864739422620472
239.0,0.0,1e-10
240.0,0.7088193630591069,0.4759092608816976
241.0,0.0,1e-10
242.0,0.0,1e-10
243.0,0.0,1e-10
244.0,0.8806917723214839,0.15882122044144548
245.0,0.0,1e-10
246.0,0.18810647764505628,0.7435816824159562
247.0,1.0,0.1398725495298062
248.0,0.0,1e-10
249.0,1.0,10.55754258922051
250.0,0.0,1e-10
251.0,0.5317748500943171,0.48492984534120714
252.0,0.006939850451604852,20.0
253.0,0.007637732899204389,20.0
254.0,0.0,0.4553701421787537
255.0,0.2351150408013299,0.5949110484521832
256.0,0.18309749692303806,1e-10
257.0,0.012084516532509457,20.0
258.0,0.007989039062482979,20.0
259.0,0.16789171051200544,0.8331116739721846
260.0,0.0,1e-10
261.0,0.0,1e-10
262.0,0.002245932254752716,20.0
263.0,0.7677902176483375,6.306214787499848
264.0,0.0,1e-10
265.0,0.27905443939777724,0.50123744609032
266.0,0.0,1e-10
267.0,0.006992049255163219,19.999999990018527
268.0,0.0,1e-10
269.0,0.0,1e-10
270.0,0.0,1e-10
271.0,0.0,1e-10
272.0,0.0,1e-10
273.0,0.0,1e-10
274.0,0.0,1e-10
275.0,0.0,1e-10
276.0,0.8855900102158845,0.5067107566403836
277.0,1.0,0.1398725391454976
278.0,0.0,1e-10
279.0,0.0,1e-10
280.0,0.0,1e-10
281.0,1.0,4.433516292906916
282.0,0.1681786450904435,0.8316902600880307
283.0,0.0,1e-10
284.0,0.0,1e-10
285.0,0.41104479661459664,0.3402853994948238
286.0,0.01647059567121936,20.0
287.0,0.0,1e-10
288.0,0.0,1e-10
289.0,0.0,1e-10
290.0,0.0,1e-10
291.0,0.0,1e-10
292.0,1.0,0.2578734932549304
293.0,0.39268151248756883,0.656698844233064
294.0,1.0,0.06743666126414273
295.0,0.0,0.38710457702066253
296.0,1.0,0.04467018909168881
297.0,0.0,1e-10
298.0,0.0,1e-10
299.0,0.0,1e-10
300.0,0.0,1e-10
301.0,1.0,0.13987254673022784
302.0,0.0,1e-10
303.0,1.0,0.1398725384732608
304.0,0.0,1e-10
305.0,0.7167446620699202,0.47064695847597254
306.0,1.0,0.13987253887887532
307.0,0.0,1e-10
308.0,0.0,1e-10
309.0,0.0,1e-10
310.0,0.21228420625193642,0.6588928215166663
311.0,0.49189984527457076,0.28435165977511234
312.0,0.33611109578419546,0.13290307013345842
313.0,0.0,1e-10
314.0,0.0,1e-10
315.0,0.0,1e-10
316.0,0.0,1e-10
317.0,0.0,1e-10
318.0,0.0,0.5902602272654531
319.0,0.0,1e-10
320.0,0.15110505655871403,0.9256642370902527
321.0,1.0,0.22466546142071384
322.0,1.0,0.2578734960490225
323.0,1.0,0.044670187111164
324.0,0.0,1e-10
325.0,0.0,1e-10
326.0,0.15766534004056462,0.887148328664853
327.0,0.0,1e-10
328.0,0.004224474794908311,20.0
329.0,0.004224475043366232,20.0
330.0,0.3757081342781191,1e-10
331.0,0.0,1e-10
332.0,1.0,0.04467019218619921
333.0,1.0,0.044670193690055704
334.0,0.0,1e-10
335.0,1.0,0.04467018844272484
336.0,1.0,0.13987253680320583
337.0,1.0,0.0446701869372648
338.0,0.9492757412431683,0.14734658009791451
339.0,0.0,1e-10
340.0,0.014620500696285565,20.0
341.0,0.02406558342032801,20.0
342.0,1.0,0.13987253548132375
343.0,0.0,1e-10
