Subject,alpha,beta,decay
1.0,1.0,5.573504787001591,1.0
2.0,0.32315915892475705,1e-10,1.0
3.0,0.0,1e-10,1.0
4.0,0.0,1e-10,0.985360818377811
5.0,0.0,1e-10,0.9578479371231696
6.0,1.0,0.13987253546336287,0.0
7.0,0.0,1e-10,0.7915082832330403
8.0,1.0,0.2578734974016725,0.0
9.0,0.0,1e-10,1.0
10.0,0.7973228558319441,0.17542772742373117,1.0
11.0,0.007764695763466598,20.0,0.0
12.0,0.7128345891671327,0.3614918884569858,0.5297259470019544
13.0,0.0,0.17427480344785462,0.770856364340163
14.0,1.0,19.005784652254327,0.0
15.0,0.0,0.28092115376082405,0.9304665868478473
16.0,0.8710108173501385,0.16058645990989986,3.916351950748631e-08
17.0,0.0,1e-10,0.27684454733543395
18.0,0.0,1e-10,1.0
19.0,0.0047350572437057405,20.0,0.0
20.0,0.9999772884939544,4.953798344122438,1.0
21.0,1.0,5.827785376918242,0.05671983309054096
22.0,0.13105532888325708,0.34084986898664277,0.29555056642407274
23.0,0.0,1e-10,0.8541890493632065
24.0,0.0,1e-10,0.7522298411989218
25.0,0.0,1e-10,0.3010328175377152
26.0,1.0,0.3373336993838469,0.0
27.0,0.0,1e-10,1.0
28.0,1.0,0.13987254385897155,0.23142444598678258
29.0,0.0,1e-10,1.0
30.0,0.0,1e-10,1.0
31.0,0.0,0.002573180654626861,0.8938453060785159
32.0,0.0,1e-10,1.0
33.0,0.002256400396604686,20.0,0.6881921649886147
34.0,0.01620707255647489,20.0,0.0
35.0,0.0,1e-10,1.0
36.0,0.0,1e-10,1.0
37.0,1.0,0.04467018986681042,0.0
38.0,0.5011607785709625,10.39123238980072,1.0
39.0,0.0008424605223370639,12.321224493997757,0.12908332142304857
40.0,1.0,7.642879490603242,0.7859410743585165
41.0,0.0,1e-10,0.7225688899985026
42.0,1.0,0.13987254183464765,0.0
43.0,0.9806344216739329,0.1426347390996857,1.0
44.0,1.0,0.044670187626958076,0.0
45.0,0.012207180259293623,20.0,0.6530797831854901
46.0,1.0,17.037642487612434,0.6990376233243886
47.0,1.0,0.13987254711581892,0.45105142990916225
48.0,0.740187621342514,0.18896903331981904,1.0
49.0,0.2564188975703958,19.92633497227832,1.0
50.0,0.9978123621804906,13.681347211197165,1.0
51.0,0.0,1e-10,0.5356691771415472
52.0,0.40437173744344274,0.5321245635015506,0.6267069733848608
53.0,1.0,0.13987253960151144,0.0
54.0,0.5068971398742448,0.6273910253007334,0.8477808288537491
55.0,0.3047987127969263,0.5821566262672646,0.21172184866870894
56.0,1.0,0.13987254380767672,1.0
57.0,1.0,20.0,0.9999999997740151
58.0,1.0,0.04846980074971861,0.07839137923739976
59.0,0.0,1e-10,0.9519399551850103
60.0,0.9881909932649614,0.2975257064215753,0.21935121420609863
61.0,1.0,20.0,0.8087516449696208
62.0,0.6945984902500617,0.20137178925720495,0.24487786604789252
63.0,0.0013401582405556454,20.0,0.0
64.0,0.010710552115235817,20.0,0.0
65.0,0.0,1e-10,1.0
66.0,1.0,20.0,1.0
67.0,1.0,20.0,1.0
68.0,0.0,1e-10,1.0
69.0,0.0,1e-10,1.0
70.0,1.0,0.13987253388040805,0.0
71.0,0.007668715893561481,20.0,0.0
72.0,1.0,0.1398725348633643,0.0
73.0,0.0,1e-10,1.0
74.0,0.8046352530008205,0.4192380230720523,1.0
75.0,1.0,0.0446701877828821,0.0
76.0,1.0,20.0,0.7828835678157502
