Subject,a_gain,a_loss,beta,decay,llh
1.0,0.0,0.0,0.10039997105937595,0.6910777047300527,8.317766166719343
2.0,0.8524940932407926,0.0,0.7388489886382152,0.7779322837818483,8.21537861998338
3.0,1.0,0.0002526911363741613,20.0,0.0,6.931471805599453
4.0,1.0,1.0,8.815809633850296,0.0,4.15888308336947
5.0,0.33508572563596334,0.9486809422189563,0.47301254432016493,0.0,6.293143318232559
6.0,0.9937661288650074,0.0,1e-10,0.7791376845218096,8.317766166719343
7.0,0.0,0.0,1e-10,1.0,8.317766166719343
8.0,0.3891002650804616,0.052541568528985505,0.9403081528267565,0.21367843964828104,8.215378619983378
9.0,0.0,0.0017552238022543077,15.252863989981233,0.0,8.297746633248764
10.0,0.8550992751764145,0.019950539241815553,20.0,0.0,6.1565658958342295
11.0,0.9504887503288453,0.19595519696468977,0.5219342994168116,0.4690118769452373,8.21537861998338
12.0,0.0,0.0013401595895459974,19.999999998905867,0.0,8.297736541259734
13.0,0.1518514846781439,0.0,1e-10,1.0,8.317766166719343
14.0,0.0,1.0,9.259869480424086,0.244941808092198,5.5451775768706115
15.0,0.10851926716760607,0.2660516121986286,0.5257346000863559,0.8296271057035702,8.21537861998338
16.0,0.0,0.0,1e-10,1.0,8.317766166719343
17.0,0.0,0.531292865160597,0.26326824850049607,0.0,8.112991073247416
18.0,0.0,1.0,0.1398725392349769,0.0,8.010603526511453
19.0,0.0,0.0,1e-10,0.0637904943302455,8.317766166719343
20.0,0.6068351780829794,1.0,20.0,0.8840277837051368,7.59902867032715
21.0,0.1004274667537528,1.0,20.0,1.0,6.931471805599453
22.0,0.0,0.0,1e-10,0.6163292384138975,8.317766166719343
23.0,0.47322619377011205,0.2742079245808993,0.51009687528387,0.23878809129427492,8.010603526511497
24.0,0.0,0.007624028442307802,20.0,0.1458837620381761,7.571702431127593
25.0,1.0,0.13354450326986456,0.20618104443821922,0.28280729974848706,7.289346945608936
26.0,0.0,0.0,1e-10,0.7643426611606865,8.317766166719343
27.0,0.007989039618657837,0.8847398717274593,20.0,0.5679740070673671,7.774063810320389
28.0,0.666686365511609,0.772893011038018,20.0,0.9924266234982742,6.832662795451913
29.0,0.8273884083814886,0.5191191768999083,0.8702701038077196,0.3234958830490086,8.21537861998338
30.0,0.7264933779591958,0.0,0.4643314051531385,0.7329860171957603,7.425468875869957
31.0,0.2790484675485445,1.0,9.65056019532934,1.0,6.93147180559972
32.0,0.0,0.20359388669569745,1e-10,0.0,8.317766166719343
33.0,0.12779130872045077,0.2755129605527038,1.094538811399298,1.0,8.112991073247414
34.0,0.0,0.0,1e-10,1.0,8.317766166719343
35.0,0.7282453220538685,0.31996963544771967,1e-10,1.0,8.317766166719343
36.0,1.0,0.02610355376782372,5.358467865811447,0.9724594493755374,6.726696816536722
37.0,1.0,0.0019491614587049942,20.0,0.1154961362382203,6.816225361347618
38.0,0.9441983614923011,0.68406783932803,0.14813892981590465,0.0,8.112991073247416
39.0,0.0,0.1932538065446333,1e-10,0.1991280397802997,8.317766166719343
40.0,0.39877856491834296,0.4368148894388799,1.0272955240710808,0.0,6.293143318232558
41.0,0.316120968347922,1.0,4.431264987825419,0.0,6.931473490516677
42.0,0.4384095577068312,0.3421807420538252,0.9292400388892946,0.41404768090799343,8.21537861998338
43.0,1.0,0.006991385261733852,20.0,0.9930108759213141,8.11305238123527
44.0,0.16395831244698325,0.3409038026352117,0.8530981945245248,0.1608523366816906,8.010603526511453
45.0,0.0,0.6239652818671719,0.22416718764682353,1.0,8.21537861998338
46.0,0.23124981220885837,0.0,0.7083716719133362,0.640360103345632,8.161565269123834
47.0,0.007764695930477828,0.9024636497705372,20.0,0.0,7.6731524205881145
48.0,0.0,0.4349376445243849,1e-10,1.0,8.317766166719343
49.0,0.007592639085827558,1.0,20.0,0.040254284812000926,6.829084258867037
50.0,0.9644969438738787,0.0,0.922003942471341,0.6034030028163779,8.21537861998338
51.0,0.9289941907111073,0.6112591958387661,0.07146416508369369,0.9846226711514777,8.317766166719343
52.0,0.8970589308991123,0.0,0.5071699609669704,0.5145316202490418,8.317766166719343
53.0,0.33544344336605836,0.7460945493719126,0.2884032917900862,0.6267069696238609,8.056043659011598
54.0,0.26488993799147864,0.0,1e-10,1.0,8.317766166719343
55.0,0.0,0.010485471204572328,1e-10,1.0,8.317766166719343
56.0,0.0,0.7145553564893177,0.47208896438415543,0.0,7.425468875869957
57.0,0.3684478041076416,0.9742033698342368,5.104726304283369,1.0,6.931472137269719
58.0,0.5069163567772967,0.4009609446025598,0.5709228006566477,0.2137830083422093,8.317766166719343
59.0,0.984340141138727,0.0,1e-10,1.0,8.317766166719343
60.0,0.0,0.3885741475228204,1e-10,1.0,8.317766166719343
61.0,1.0,0.0,20.0,0.7372280358532468,6.931471947758725
62.0,0.0,0.9594659474114939,1e-10,0.6648077960530817,8.317766166719343
63.0,0.0,0.8551584341920607,5.702469078718751,1.0,6.931472248667106
64.0,0.02161266172365435,0.011925504009726298,20.0,0.0,7.040497833052155
65.0,0.0,0.39044150140682066,1e-10,0.5983956777931536,8.317766166719343
66.0,0.0,0.4254174572891082,1e-10,1.0,8.317766166719343
67.0,1.0,0.45388143796864766,0.13987253890463117,0.0,8.010603526511451
68.0,0.5512419801986204,0.003505541363656328,0.7593170071281523,1.0,8.317766166719343
69.0,1.0,0.0,6.445492031275604,0.45011460820437565,5.545177452483526
70.0,0.8261298333408646,0.0,1e-10,1.0,8.317766166719343
71.0,0.0022564015928194757,1.0,20.0,0.0,6.864345965618599
72.0,0.0,1.0,20.0,0.8555509292242489,7.55317433081642
73.0,0.6249800053456311,1.0,10.27231777557992,0.0,5.545177448799737
74.0,0.0,0.026667768405161607,1e-10,0.9441984202692096,8.317766166719343
75.0,0.0,0.0,1e-10,1.0,8.317766166719343
76.0,0.0,0.0,1e-10,0.6828660381745577,8.317766166719343
77.0,0.0,0.0,1e-10,1.0,8.317766166719343
78.0,0.40266042983978645,0.0,0.40291128790069125,0.6771097726576301,8.317766166719343
79.0,0.0,0.8463261021194255,0.7020077826482709,0.5513078058149803,8.317766166719343
80.0,1.0,0.48793921231212917,5.797562703974727,0.0,5.442789956993899
81.0,0.0013401568357820533,0.3060135798677118,20.0,0.0,8.297736541259676
82.0,0.008329745400170686,1.0,3.308860421232107,0.0,6.910987944833936
83.0,0.28048577549924525,0.013469532211641932,1e-10,1.0,8.317766166719343
84.0,0.0,0.6029288318648811,1e-10,1.0,8.317766166719343
85.0,0.0,0.32537557828108676,1e-10,0.9146416852283609,8.317766166719343
86.0,0.0,0.0,1e-10,1.0,8.317766166719343
87.0,0.8453822626242696,0.0,1e-10,0.30033924797992995,8.317766166719343
88.0,0.0,0.6723565248153367,1e-10,1.0,8.317766166719343
89.0,0.0,0.8316624432887949,6.745790754535985,1.0,6.931471854637841
90.0,0.3369180140349992,1.0,0.1398725375409179,0.0,7.9082159797754885
91.0,0.0,0.706764063319367,1e-10,1.0,8.317766166719343
92.0,1.0,0.9126239258327904,5.617938163404583,0.9751014222227399,5.340402447205585
93.0,0.25360767960444774,0.48215279646362696,1e-10,1.0,8.317766166719343
94.0,1.0,0.5106968631790533,5.71517446080818,0.006298317445500051,6.829084299157422
95.0,0.0024482808677516814,0.0011994764392856568,20.0,0.0,8.245048499414645
96.0,0.5493279260753028,0.0,1e-10,1.0,8.317766166719343
97.0,0.0,0.19888715790417377,0.3556855821040145,0.3733168433294928,8.317766166719343
98.0,0.07691070044750292,0.5941962717279416,0.26115301149309367,0.6791818977886374,8.317766166719343
99.0,0.0,0.0,1e-10,1.0,8.317766166719343
100.0,0.7396653371958134,1.0,4.441051700088653,0.0,6.9314734417663955
101.0,0.0,0.0,1e-10,1.0,8.317766166719343
102.0,0.3740284363409402,1.0,8.007283711674798,0.0,5.545177444553434
103.0,1.0,0.0,0.13987253936848293,0.0,8.010603526511451
104.0,0.6087974283702269,0.0,0.10662361997638174,0.8849263519847941,8.317766166719343
105.0,0.7854183577151858,0.0,1e-10,1.0,8.317766166719343
106.0,0.0,0.021130235974284282,1e-10,1.0,8.317766166719343
107.0,0.0,0.40975673349764685,0.49572031492028873,0.08905446563521689,8.21537861998338
108.0,0.0,1.0,20.0,0.0,6.931471805599453
109.0,0.0,1.0,20.0,0.7308235569390897,6.93147190240258
110.0,1.0,1.0,8.176396121434758,0.0,4.158883083426388
111.0,0.0,1.0,11.473584480101197,0.1995929704010858,6.931471805600537
112.0,0.0,1.0,20.0,0.9930097621903811,8.215409383645781
113.0,0.9275323467852277,0.0,0.15080072234583258,1.0,8.21537861998338
114.0,0.014620501744106725,1.0,20.0,0.0,5.735179108686213
115.0,1.0,0.0,4.437214131971714,1.0,6.931473460711965
116.0,0.47715748574298,0.0,20.0,0.08825153551033871,6.9314718056455975
117.0,0.936780619886317,0.0,0.41142018212635617,0.6370816371035718,8.21537861998338
118.0,0.0,0.262922237488324,20.0,0.0,6.931471946482721
119.0,1.0,1.0,0.1398725488918924,0.0,8.010603526511453
120.0,0.9621962134734825,0.9957797704341501,0.8895319739323092,0.595746641073127,8.21537861998338
121.0,0.0,0.48978481590167455,1e-10,0.8713458411996855,8.317766166719343
122.0,0.6953529471841257,0.7614067340149865,0.20115330969417272,0.8261124629580541,8.21537861998338
123.0,0.6662132786126505,0.7440080598106483,6.738575509840063,0.0,6.9314720993122805
124.0,0.0,0.01462050053694323,20.0,0.0,7.1214734698061095
125.0,0.0,0.5221089038138106,1e-10,1.0,8.317766166719343
126.0,0.0,0.48813125691857234,0.28654700815087675,1.0,8.21537861998338
127.0,1.0,0.0,4.429202922916991,0.224421028497517,6.931473500972218
128.0,1.0,0.0,10.760877014303414,0.0,5.545177444479582
129.0,0.8727464257101631,0.41864331310359515,0.1602671094317005,0.0,8.112991073247416
130.0,0.021383791810208195,1.0,6.542041036143421,0.04891267281214928,6.829084264027192
131.0,0.8996025940945115,0.7553730242497421,0.6775586626966897,0.3510547858185586,8.21537861998338
132.0,0.1745875619913836,0.7556553409116207,0.7229676407301351,0.36442768048262775,8.317766166719343
133.0,0.48557845723255344,0.07826109740942828,20.0,0.8984248059832421,6.698471235126811
134.0,0.0,0.0,1e-10,0.5453161165130134,8.317766166719343
135.0,0.0,0.420503877798044,0.3326311918742722,4.6476085912365853e-07,8.112991073247427
136.0,0.7850772932014913,0.0,1e-10,0.55415395869005,8.317766166719343
137.0,0.7375529996755082,1.0,0.13987253560233096,0.0,8.010603526511453
138.0,0.2639777956741114,0.004224474699152061,20.0,0.0,8.133455026720583
139.0,0.06364097950223313,0.5065505291084157,0.2761275360648061,1.0,8.21537861998338
140.0,0.5074546914721965,0.7709237012475337,0.2756355568655879,1.0,8.21537861998338
141.0,0.1942167313044625,1.0,4.438714879759256,0.0,6.931473453276989
142.0,0.4307389249466874,1.0,0.24205116816903252,0.400554024554902,7.897565586611804
143.0,0.0,1.0,5.596953673942048,0.0,5.545177546538659
144.0,0.0,0.0029250391254463876,20.0,0.0,8.187753109661088
145.0,1.0,0.15852013867784373,6.003090266377164,0.3808181096361539,6.829084273952944
146.0,1.0,1.0,7.317474916447973,0.0,4.158883084237287
147.0,1.0,0.0,14.99456704166688,0.6419215123031035,5.545177545524992
148.0,0.0,0.03213344069619912,19.999999999851237,0.7363575837933954,8.284348414135017
149.0,0.0,0.7391557302263365,0.1892328370383113,1.0,8.21537861998338
150.0,0.9126200049693234,0.0009570614929251679,20.0,0.01594808867928388,8.289168566547453
