"Trial","Stim_Sequence","Choice","Trustee_Response","Alpha_gain","Alpha_loss","Beta","Subject"
1,0,4,1,0.34217,0.37063,0.49715,"sub-1_1"
2,0,4,0,0.34217,0.37063,0.49715,"sub-1_1"
3,0,1,0,0.34217,0.37063,0.49715,"sub-1_1"
4,0,1,0,0.34217,0.37063,0.49715,"sub-1_1"
5,0,3,1,0.34217,0.37063,0.49715,"sub-1_1"
6,0,4,1,0.34217,0.37063,0.49715,"sub-1_1"
7,0,3,1,0.34217,0.37063,0.49715,"sub-1_1"
8,0,3,1,0.34217,0.37063,0.49715,"sub-1_1"
9,0,4,1,0.34217,0.37063,0.49715,"sub-1_1"
10,0,3,0,0.34217,0.37063,0.49715,"sub-1_1"
11,0,3,1,0.34217,0.37063,0.49715,"sub-1_1"
12,0,3,1,0.34217,0.37063,0.49715,"sub-1_1"
13,0,4,1,0.34217,0.37063,0.49715,"sub-1_1"
14,0,3,0,0.34217,0.37063,0.49715,"sub-1_1"
15,0,1,0,0.34217,0.37063,0.49715,"sub-1_1"
16,1,3,0,0.34217,0.37063,0.49715,"sub-1_1"
17,1,1,0,0.34217,0.37063,0.49715,"sub-1_1"
18,1,1,0,0.34217,0.37063,0.49715,"sub-1_1"
19,1,3,1,0.34217,0.37063,0.49715,"sub-1_1"
20,1,1,0,0.34217,0.37063,0.49715,"sub-1_1"
21,1,4,1,0.34217,0.37063,0.49715,"sub-1_1"
22,1,4,1,0.34217,0.37063,0.49715,"sub-1_1"
23,1,4,1,0.34217,0.37063,0.49715,"sub-1_1"
24,1,3,1,0.34217,0.37063,0.49715,"sub-1_1"
25,1,4,1,0.34217,0.37063,0.49715,"sub-1_1"
26,1,4,1,0.34217,0.37063,0.49715,"sub-1_1"
27,1,3,0,0.34217,0.37063,0.49715,"sub-1_1"
28,1,2,1,0.34217,0.37063,0.49715,"sub-1_1"
29,1,3,1,0.34217,0.37063,0.49715,"sub-1_1"
30,1,2,1,0.34217,0.37063,0.49715,"sub-1_1"
31,2,2,0,0.34217,0.37063,0.49715,"sub-1_1"
32,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
33,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
34,2,4,0,0.34217,0.37063,0.49715,"sub-1_1"
35,2,2,0,0.34217,0.37063,0.49715,"sub-1_1"
36,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
37,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
38,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
39,2,2,1,0.34217,0.37063,0.49715,"sub-1_1"
40,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
41,2,2,1,0.34217,0.37063,0.49715,"sub-1_1"
42,2,4,0,0.34217,0.37063,0.49715,"sub-1_1"
43,2,2,0,0.34217,0.37063,0.49715,"sub-1_1"
44,2,2,0,0.34217,0.37063,0.49715,"sub-1_1"
45,2,1,0,0.34217,0.37063,0.49715,"sub-1_1"
1,0,1,0,0.34217,0.37063,0.49715,"sub-1_2"
2,0,2,1,0.34217,0.37063,0.49715,"sub-1_2"
3,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
4,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
5,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
6,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
7,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
8,0,4,0,0.34217,0.37063,0.49715,"sub-1_2"
9,0,3,1,0.34217,0.37063,0.49715,"sub-1_2"
10,0,2,1,0.34217,0.37063,0.49715,"sub-1_2"
11,0,3,1,0.34217,0.37063,0.49715,"sub-1_2"
12,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
13,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
14,0,4,1,0.34217,0.37063,0.49715,"sub-1_2"
15,0,3,1,0.34217,0.37063,0.49715,"sub-1_2"
16,1,2,1,0.34217,0.37063,0.49715,"sub-1_2"
17,1,4,0,0.34217,0.37063,0.49715,"sub-1_2"
18,1,1,0,0.34217,0.37063,0.49715,"sub-1_2"
19,1,4,1,0.34217,0.37063,0.49715,"sub-1_2"
20,1,4,0,0.34217,0.37063,0.49715,"sub-1_2"
21,1,3,1,0.34217,0.37063,0.49715,"sub-1_2"
22,1,3,1,0.34217,0.37063,0.49715,"sub-1_2"
23,1,3,1,0.34217,0.37063,0.49715,"sub-1_2"
24,1,4,0,0.34217,0.37063,0.49715,"sub-1_2"
25,1,1,0,0.34217,0.37063,0.49715,"sub-1_2"
26,1,3,0,0.34217,0.37063,0.49715,"sub-1_2"
27,1,2,1,0.34217,0.37063,0.49715,"sub-1_2"
28,1,1,0,0.34217,0.37063,0.49715,"sub-1_2"
29,1,4,1,0.34217,0.37063,0.49715,"sub-1_2"
30,1,4,0,0.34217,0.37063,0.49715,"sub-1_2"
31,2,2,0,0.34217,0.37063,0.49715,"sub-1_2"
32,2,2,0,0.34217,0.37063,0.49715,"sub-1_2"
33,2,2,0,0.34217,0.37063,0.49715,"sub-1_2"
34,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
35,2,2,0,0.34217,0.37063,0.49715,"sub-1_2"
36,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
37,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
38,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
39,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
40,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
41,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
42,2,1,0,0.34217,0.37063,0.49715,"sub-1_2"
