Subject,alpha,beta,decay,llh
sub-1009_1,0.0,1e-10,0.9129814171477852,15.249237972318797
sub-1009_2,0.002357505977491985,20.0,0.0,14.87217166130013
sub-1009_3,1.0,0.02352774369534937,0.18779023434992045,15.233295467799586
sub-1009_4,0.0,1e-10,1.0,15.249237972318797
sub-1009_5,1.0,0.33733370047118283,1.0,14.35694068146941
sub-1009_6,0.007687181553058678,20.0,0.0,13.85865413411861
sub-1009_7,0.0044444896073615485,20.0,0.0,13.965894378719765
sub-1009_8,0.8841165106666958,0.19546008818752592,0.0,13.931349969712798
sub-1009_9,0.0007446657495271139,19.999999999910543,0.0,15.20472364728358
sub-1009_10,0.0028425256763649634,20.0,0.0,14.718419616348287
sub-1021_1,0.01036197123050753,20.0,0.11642439620735705,14.269437630028042
sub-1021_2,0.020946068504658247,20.0,0.30109147586090884,13.57686692571679
sub-1021_3,0.4513294860611267,0.36859051568644946,0.0,14.295261788393969
sub-1021_4,0.012867403867110395,20.0,0.8255433074006989,14.029745638463124
sub-1021_5,0.0029596000705420246,20.0,0.0,14.295825849555703
sub-1021_6,0.01130859427129147,20.0,0.0,12.298492647654914
sub-1021_7,0.010097497865957884,20.0,0.0,13.52499273956242
sub-1021_8,1.0,20.0,0.8835375192778477,7.601840044208118
sub-1021_9,1.0,20.0,0.8537468432846758,10.312985795345607
sub-1021_10,0.005488645697116752,20.0,0.0,14.103458837840218
sub-1035_1,0.003001001369495429,20.0,0.0,14.854517335466392
sub-1035_2,0.0018858515278274183,20.0,0.0,14.9998604092217
sub-1035_3,1.0,0.44941076049383666,0.2520213245660056,12.332331056233276
sub-1035_4,1.0,0.09752881575006389,0.0,14.887856208723134
sub-1035_5,0.0030340594360572398,20.0,0.0,14.76201879506221
sub-1035_6,0.7505338068673866,0.49526659500698406,0.0,10.478830801449089
sub-1035_7,0.007591248412514048,20.0,0.0,13.862451207602803
sub-1035_8,0.023057729818793955,20.0,0.0,8.550381939261126
sub-1035_9,0.012738309255674717,20.0,1.0,14.366084874855556
sub-1035_10,1.0,0.18006724506258429,0.0,13.951126587370387
sub-1034_1,1.0,20.0,0.9977765297084059,13.829674896823905
sub-1034_2,1.0,5.029786933000085,0.9721911709669802,13.453393693531858
sub-1034_3,1.0,20.0,0.0,4.1588830833596715
sub-1034_4,0.14096578633440648,1.0769067686316567,0.0,13.707270301101435
sub-1034_5,0.8816760063087316,0.3681987032349349,0.0,11.648876235419038
sub-1034_6,0.007488198005343083,20.0,0.0,12.666603515356067
sub-1034_7,0.023370508106337704,20.0,0.0,10.08674687922085
sub-1034_8,1.0,20.0,0.9527545124276102,9.980492302092069
sub-1034_9,0.013729470211045364,20.0,0.23826825152083797,12.63542925323424
sub-1034_10,0.01641486191231986,20.0,0.0,13.498206929567676
sub-1020_1,1.0,0.3006380962006911,0.0,12.604088973274362
sub-1020_2,0.019111868438986393,20.0,0.4773363225597176,14.183492963104692
sub-1020_3,1.0,15.386590937231565,0.0,4.1588830833596715
sub-1020_4,0.018434326395958905,20.0,0.1402062081991569,13.10347564791268
sub-1020_5,0.014620499470890136,20.0,0.0,11.660359881579101
sub-1020_6,1.0,20.0,0.44786070850588783,8.590413894897257
sub-1020_7,1.0,20.0,0.6311843141789593,8.766174549040306
sub-1020_8,0.3955349806643769,0.15116981661725518,0.0,14.938356349254336
