Subject,alpha,beta,decay,llh
sub-2013_1,0.0,1e-10,1.0,8.317766166719343
sub-2013_2,0.17362166195259524,0.8056169020768807,1.0,8.21537861998338
sub-2013_3,0.001340158971523689,20.0,1.0,8.297736541259686
sub-2013_4,0.0,1e-10,0.2083127822974254,8.317766166719343
sub-2013_5,0.0,1e-10,0.9120802828775821,8.317766166719343
sub-2013_6,1.0,0.13987254903478477,0.0,8.112991073247416
sub-2013_7,0.0,1e-10,0.8492018774519977,8.317766166719343
sub-2013_8,0.21205960509452942,0.6595906430749485,1.0,8.21537861998338
sub-2013_9,0.895022923433554,0.7062393542401175,0.3151814025459071,8.317766166719343
sub-2013_10,0.0,1e-10,0.5823618714803762,8.317766166719343
sub-2007_1,1.0,0.13987252951703025,1.0,8.112991073247416
sub-2007_2,0.0,1e-10,0.8618425014196665,8.317766166719343
sub-2007_3,0.0,1e-10,1.0,8.317766166719343
sub-2007_4,0.7652293103567366,1e-10,1.0,8.317766166719343
sub-2007_5,0.002256399873204136,20.0,0.0,8.25064032673855
sub-2007_6,0.0,1e-10,0.8578589825805111,8.317766166719343
sub-2007_7,0.5059904789416412,0.6666799401355167,0.0,7.425468875869956
sub-2007_8,0.0,1e-10,0.5335189498893183,8.317766166719343
sub-2007_9,0.0,1e-10,1.0,8.317766166719343
sub-2007_10,0.0,1e-10,0.7877253501283635,8.317766166719343
sub-2006_1,0.9967103992175297,20.0,1.0,6.931471805599453
sub-2006_2,0.0,0.48357790321105465,0.9981955908273293,8.317766166719343
sub-2006_3,0.0,1e-10,0.8264504514410185,8.317766166719343
sub-2006_4,0.65047947718019,0.29537851166200174,0.0,7.308503640744252
sub-2006_5,0.0,1e-10,1.0,8.317766166719343
sub-2006_6,0.7705996756918024,0.22315000655235612,0.18659519213536324,8.010603526511456
sub-2006_7,0.0,1e-10,0.9210076534717937,8.317766166719343
sub-2006_8,0.00701272873651388,20.0,0.19189687797841146,7.6244376300198695
sub-2006_9,0.00688701417721534,20.0,0.1167129837435461,8.216828779247452
sub-2006_10,0.0,1e-10,0.5491087312419951,8.317766166719343
sub-2012_1,0.0,1e-10,1.0,8.317766166719343
sub-2012_2,0.0,1e-10,1.0,8.317766166719343
sub-2012_3,1.0,0.13987254458867515,0.0,8.112991073247414
sub-2012_4,1.0,4.4352723867457495,1.0,6.931473470381531
sub-2012_5,1.0,0.04467018804513236,0.0,8.284348414135035
sub-2012_6,1.0,8.817822518240023,0.0,5.545177444486055
sub-2012_7,0.0,1e-10,1.0,8.317766166719343
sub-2012_8,1.0,0.33733369145145464,0.0,7.4254688758699565
sub-2012_9,0.0,1e-10,0.8713855033619219,8.317766166719343
sub-2012_10,0.007764695586826199,20.0,0.0,7.673152420588107
sub-2004_1,0.0,1e-10,0.5428814349459129,8.317766166719343
sub-2004_2,0.006887016785116174,20.0,0.7353955162205512,8.21682877924746
sub-2004_3,0.00450952701251333,20.0,0.48236523985029367,7.746449100775022
sub-2004_4,0.0,1e-10,0.7848555300991964,8.317766166719343
sub-2004_5,0.0,1e-10,0.41520318473522355,8.317766166719343
sub-2004_6,1.0,20.0,0.9931641911261126,8.117298751385263
sub-2004_7,0.0,0.15278737187090674,0.7894122941312736,8.317766166719343
sub-2004_8,0.0,1e-10,0.018726824956434407,8.317766166719343
sub-2004_9,0.0,1e-10,0.6906288272538047,8.317766166719343
sub-2004_10,1.0,0.139872535243636,1.0,8.21537861998338
sub-2010_1,0.696269970878079,0.6042494981128457,0.19820054898959286,7.4254688758699565
sub-2010_2,0.0,1e-10,1.0,8.317766166719343
sub-2010_3,0.0,1e-10,0.9415087150456608,8.317766166719343
sub-2010_4,0.31352921013010426,0.21088498708205528,1.0,8.317766166719343
sub-2010_5,1.0,0.1398725369135749,0.5773930298780934,8.112991073247416
sub-2010_6,1.0,10.14122160354972,0.0,4.158883083359855
sub-2010_7,1.0,4.810559110145683,1.0,6.931472345610057
sub-2010_8,0.0,1e-10,1.0,8.317766166719343
sub-2010_9,0.0013401575056729528,20.0,0.0,8.297736541259685
sub-2010_10,0.0,1e-10,0.4819786403500322,8.317766166719343
sub-2038_1,1.0,0.1398725424253497,0.0,8.010603526511451
sub-2038_2,0.014612480607227292,20.0,0.3359387081562123,7.4010352277907465
sub-2038_3,0.48651350367027413,0.28749982495929544,1.0,8.21537861998338
sub-2038_4,1.0,20.0,0.7057663196557891,6.835133427058552
sub-2038_5,0.21571321766155654,0.8566097048252989,1.0,8.317766166719343
sub-2038_6,0.01620707393777371,20.0,0.0,7.450231511029363
sub-2038_7,1.0,8.207467365215468,0.982957887353339,5.442789897784127
sub-2038_8,0.0,1e-10,1.0,8.317766166719343
sub-2038_9,0.004697728985182307,20.0,0.5411793362661629,8.04566207455949
sub-2038_10,1.0,0.044670184819542984,0.0,8.284348414135033
sub-2039_1,1.0,20.0,0.8087516719745799,6.829094650632182
sub-2039_2,1.0,0.25787349704160156,0.0,7.423065296497047
sub-2039_3,0.0,1e-10,0.1892950923634923,8.317766166719343
sub-2039_4,0.017814446147276012,20.0,0.0,5.890101370917609
sub-2039_5,0.40717947055564,0.3435157113381059,0.0,8.112991073247414
sub-2039_6,1.0,0.0674365680139807,0.0,8.217192318120626
sub-2039_7,0.0,1e-10,0.7994362417722126,8.317766166719343
sub-2039_8,0.9999999995040665,5.474763784879687,0.9744577247435039,6.829084338323039
sub-2039_9,1.0,0.44873797980013386,1.0,6.395530864968523
sub-2039_10,0.0,1e-10,0.1754003462791935,8.317766166719343
sub-2011_1,0.0,0.3085642208603687,0.9049707255494343,8.317766166719343
sub-2011_2,0.01252513998606284,20.0,0.0,7.440795261980876
sub-2011_3,0.0,1e-10,0.37608154440604846,8.317766166719343
sub-2011_4,0.0,0.06610840908654328,0.3062623870763601,8.317766166719343
sub-2011_5,1.0,0.13987253663962965,0.2955172988859227,8.112991073247416
sub-2011_6,0.6702333765739868,0.5033078108921174,0.5126082874397437,7.425468875869957
sub-2011_7,0.0,1e-10,0.9601896337182271,8.317766166719343
