Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
1,2,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
2,2,1,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
3,1,4,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
4,0,1,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
5,1,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
6,0,2,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
7,1,1,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
8,0,2,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
9,2,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
10,2,3,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
11,1,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
12,2,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
13,1,1,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
14,2,4,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
15,0,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
16,0,2,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
17,1,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
18,0,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
19,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
20,2,1,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
21,1,3,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
22,1,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
23,2,1,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
24,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
25,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
26,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
27,2,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
28,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
29,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
30,1,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
31,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
32,0,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
33,2,3,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
34,1,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
35,1,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
36,2,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
37,2,1,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
38,1,2,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
39,1,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
40,2,1,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
41,1,4,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
42,1,1,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
43,2,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
44,0,3,1,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
45,2,2,0,sub-2013_1,0.0044147272168525,20.0,0.0322068327886771
1,1,2,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
2,0,1,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
3,1,1,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
4,0,4,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
5,2,4,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
6,0,1,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
7,2,2,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
8,2,4,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
9,0,3,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
10,1,1,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
11,0,2,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
12,2,4,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
13,1,1,1,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
14,1,1,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
15,2,2,0,sub-2013_2,0.0044147272168525,20.0,0.0322068327886771
