Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,Decay
1,1,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
2,2,4,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
3,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
4,1,2,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
5,0,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
6,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
7,1,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
8,1,1,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
9,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
10,2,2,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
11,1,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
12,2,2,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
13,2,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
14,0,2,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
15,1,2,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
16,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
17,2,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
18,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
19,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
20,0,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
21,1,2,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
22,2,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
23,1,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
24,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
25,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
26,0,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
27,1,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
28,1,2,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
29,1,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
30,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
31,1,4,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
32,1,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
33,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
34,0,2,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
35,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
36,1,3,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
37,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
38,0,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
39,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
40,0,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
41,2,1,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
42,2,4,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
43,0,4,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
44,1,2,0,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
45,0,3,1,sub-1009_1,0.0011064427808133,0.0013407619908078,20.0,0.0
1,0,2,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
2,1,3,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
3,1,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
4,2,3,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
5,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
6,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
7,2,4,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
8,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
9,0,3,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
10,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
11,1,2,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
12,1,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
13,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
14,1,2,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
15,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
16,0,4,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
17,2,4,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
18,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
19,1,4,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
20,1,2,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
21,2,3,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
22,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
23,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
24,1,2,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
25,2,2,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
26,1,2,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
27,2,2,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
28,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
29,2,3,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
30,0,3,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
31,1,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
32,0,4,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
33,0,1,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
34,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
35,2,2,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
36,2,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
37,1,4,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
38,1,3,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
39,1,1,0,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
40,0,2,1,sub-1009_2,0.0011064427808133,0.0013407619908078,20.0,0.0
