Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta
1,1,2,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
2,0,3,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
3,1,3,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
4,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
5,2,3,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
6,1,4,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
7,0,2,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
8,1,3,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
9,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
10,2,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
11,2,2,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
12,0,2,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
13,2,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
14,1,2,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
15,2,4,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
16,2,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
17,1,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
18,2,2,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
19,1,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
20,2,3,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
21,1,1,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
22,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
23,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
24,1,1,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
25,1,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
26,2,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
27,0,3,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
28,1,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
29,2,3,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
30,0,4,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
31,1,3,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
32,0,3,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
33,1,3,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
34,1,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
35,1,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
36,2,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
37,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
38,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
39,2,4,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
40,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
41,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
42,0,4,1,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
43,2,4,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
44,2,2,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
45,2,1,0,sub-2013_1,0.0034983036500314,0.0021427676139198,20.0
1,0,2,1,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
2,0,2,1,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
3,0,3,1,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
4,0,2,1,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
5,2,3,0,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
6,1,2,0,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
7,2,2,1,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
8,1,4,0,sub-2013_2,0.0034983036500314,0.0021427676139198,20.0
