Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,iProbA,iProbB,iProbC
1,1,1,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
2,0,2,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
3,0,3,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
4,0,3,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
5,1,3,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
6,1,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
7,2,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
8,1,3,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
9,1,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
10,2,3,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
11,2,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
12,0,1,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
13,0,2,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
14,1,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
15,1,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
16,0,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
17,1,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
18,2,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
19,1,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
20,0,3,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
21,0,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
22,2,3,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
23,2,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
24,2,3,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
25,1,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
26,0,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
27,2,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
28,2,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
29,0,3,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
30,2,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
31,0,2,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
32,2,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
33,2,4,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
34,0,4,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
35,1,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
36,1,2,0,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
37,0,3,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
38,2,2,1,sub-1009_1,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
