Trial,Stim_Sequence,Choice,Trustee_Response,Beta,Subject
1,0,4,1,0.113987683766151,sub-2013_1
2,2,3,1,0.113987683766151,sub-2013_1
3,1,1,1,0.113987683766151,sub-2013_1
4,2,1,0,0.113987683766151,sub-2013_1
5,1,1,0,0.113987683766151,sub-2013_1
6,0,4,1,0.113987683766151,sub-2013_1
7,0,4,1,0.113987683766151,sub-2013_1
8,1,1,1,0.113987683766151,sub-2013_1
9,2,3,0,0.113987683766151,sub-2013_1
10,0,4,1,0.113987683766151,sub-2013_1
11,1,3,1,0.113987683766151,sub-2013_1
12,2,4,1,0.113987683766151,sub-2013_1
13,0,3,1,0.113987683766151,sub-2013_1
14,2,3,0,0.113987683766151,sub-2013_1
15,1,2,1,0.113987683766151,sub-2013_1
16,2,2,0,0.113987683766151,sub-2013_1
17,1,4,0,0.113987683766151,sub-2013_1
18,1,4,1,0.113987683766151,sub-2013_1
19,2,1,0,0.113987683766151,sub-2013_1
20,1,1,0,0.113987683766151,sub-2013_1
21,2,3,0,0.113987683766151,sub-2013_1
22,2,1,0,0.113987683766151,sub-2013_1
23,1,1,1,0.113987683766151,sub-2013_1
24,1,1,0,0.113987683766151,sub-2013_1
25,0,1,1,0.113987683766151,sub-2013_1
26,1,2,1,0.113987683766151,sub-2013_1
27,1,3,1,0.113987683766151,sub-2013_1
28,0,1,1,0.113987683766151,sub-2013_1
29,0,3,1,0.113987683766151,sub-2013_1
30,2,4,0,0.113987683766151,sub-2013_1
31,2,4,1,0.113987683766151,sub-2013_1
32,2,4,0,0.113987683766151,sub-2013_1
33,0,1,1,0.113987683766151,sub-2013_1
34,1,3,1,0.113987683766151,sub-2013_1
35,2,4,0,0.113987683766151,sub-2013_1
36,0,1,1,0.113987683766151,sub-2013_1
37,0,4,1,0.113987683766151,sub-2013_1
38,1,2,0,0.113987683766151,sub-2013_1
39,2,1,0,0.113987683766151,sub-2013_1
40,0,4,1,0.113987683766151,sub-2013_1
41,0,2,1,0.113987683766151,sub-2013_1
42,2,4,0,0.113987683766151,sub-2013_1
43,0,3,1,0.113987683766151,sub-2013_1
44,0,1,1,0.113987683766151,sub-2013_1
45,1,4,0,0.113987683766151,sub-2013_1
1,1,3,1,0.113987683766151,sub-2013_2
2,1,3,0,0.113987683766151,sub-2013_2
3,0,1,1,0.113987683766151,sub-2013_2
4,2,4,0,0.113987683766151,sub-2013_2
5,0,2,1,0.113987683766151,sub-2013_2
6,2,4,0,0.113987683766151,sub-2013_2
7,0,3,0,0.113987683766151,sub-2013_2
8,1,1,1,0.113987683766151,sub-2013_2
9,0,4,1,0.113987683766151,sub-2013_2
10,2,4,0,0.113987683766151,sub-2013_2
11,1,4,1,0.113987683766151,sub-2013_2
12,1,3,0,0.113987683766151,sub-2013_2
13,2,4,0,0.113987683766151,sub-2013_2
14,0,1,1,0.113987683766151,sub-2013_2
15,1,2,1,0.113987683766151,sub-2013_2
16,2,4,0,0.113987683766151,sub-2013_2
17,2,4,0,0.113987683766151,sub-2013_2
18,0,2,1,0.113987683766151,sub-2013_2
19,0,4,1,0.113987683766151,sub-2013_2
20,2,2,0,0.113987683766151,sub-2013_2
21,1,2,1,0.113987683766151,sub-2013_2
22,0,3,1,0.113987683766151,sub-2013_2
23,2,2,0,0.113987683766151,sub-2013_2
24,2,4,0,0.113987683766151,sub-2013_2
25,1,3,1,0.113987683766151,sub-2013_2
26,0,3,1,0.113987683766151,sub-2013_2
27,1,2,0,0.113987683766151,sub-2013_2
28,0,4,1,0.113987683766151,sub-2013_2
29,0,4,1,0.113987683766151,sub-2013_2
30,1,3,0,0.113987683766151,sub-2013_2
31,2,1,0,0.113987683766151,sub-2013_2
32,1,2,1,0.113987683766151,sub-2013_2
33,2,2,0,0.113987683766151,sub-2013_2
34,2,1,0,0.113987683766151,sub-2013_2
35,2,3,0,0.113987683766151,sub-2013_2
36,2,4,0,0.113987683766151,sub-2013_2
37,1,3,0,0.113987683766151,sub-2013_2
38,2,3,0,0.113987683766151,sub-2013_2
39,0,2,1,0.113987683766151,sub-2013_2
40,0,1,1,0.113987683766151,sub-2013_2
41,1,3,1,0.113987683766151,sub-2013_2
42,1,3,1,0.113987683766151,sub-2013_2
43,0,2,1,0.113987683766151,sub-2013_2
44,1,3,1,0.113987683766151,sub-2013_2
45,0,4,1,0.113987683766151,sub-2013_2
1,0,4,1,0.113987683766151,sub-2013_3
2,2,3,0,0.113987683766151,sub-2013_3
3,0,2,1,0.113987683766151,sub-2013_3
4,2,2,0,0.113987683766151,sub-2013_3
5,2,3,0,0.113987683766151,sub-2013_3
6,2,2,0,0.113987683766151,sub-2013_3
7,2,1,0,0.113987683766151,sub-2013_3
8,2,1,0,0.113987683766151,sub-2013_3
9,0,2,1,0.113987683766151,sub-2013_3
10,2,4,0,0.113987683766151,sub-2013_3
11,0,2,1,0.113987683766151,sub-2013_3
12,0,4,1,0.113987683766151,sub-2013_3
13,0,1,0,0.113987683766151,sub-2013_3
14,0,2,1,0.113987683766151,sub-2013_3
15,1,4,0,0.113987683766151,sub-2013_3
16,2,1,1,0.113987683766151,sub-2013_3
17,1,3,0,0.113987683766151,sub-2013_3
18,2,3,0,0.113987683766151,sub-2013_3
19,0,4,1,0.113987683766151,sub-2013_3
20,0,1,1,0.113987683766151,sub-2013_3
21,2,2,0,0.113987683766151,sub-2013_3
22,0,2,1,0.113987683766151,sub-2013_3
23,1,2,1,0.113987683766151,sub-2013_3
24,2,1,0,0.113987683766151,sub-2013_3
25,0,4,1,0.113987683766151,sub-2013_3
26,1,3,1,0.113987683766151,sub-2013_3
27,0,2,1,0.113987683766151,sub-2013_3
28,1,1,0,0.113987683766151,sub-2013_3
29,2,1,0,0.113987683766151,sub-2013_3
30,1,1,1,0.113987683766151,sub-2013_3
31,1,3,0,0.113987683766151,sub-2013_3
32,1,1,0,0.113987683766151,sub-2013_3
33,1,2,1,0.113987683766151,sub-2013_3
34,1,4,1,0.113987683766151,sub-2013_3
35,2,1,0,0.113987683766151,sub-2013_3
36,2,3,0,0.113987683766151,sub-2013_3
37,0,2,0,0.113987683766151,sub-2013_3
38,1,1,0,0.113987683766151,sub-2013_3
39,1,4,0,0.113987683766151,sub-2013_3
