Subject,alpha,beta,decay,llh
1.0,0.0,1e-10,1.0,8.317766166719343
2.0,0.0,1e-10,0.5010846925746787,8.317766166719343
3.0,1.0,4.434575837048805,0.0,6.9314734738639805
4.0,1.0,10.372495752721255,0.0,4.158883083359765
5.0,0.02211250267846444,20.0,0.0,6.410967645390739
6.0,0.0,1e-10,0.7661353742581875,8.317766166719343
7.0,0.0,1e-10,0.9931531960481537,8.317766166719343
8.0,0.7225188217951543,0.8721858067317357,0.31361375272941344,8.21537861998338
9.0,0.0,1e-10,1.0,8.317766166719343
10.0,0.019950539552900656,20.0,0.0,6.156565895834233
11.0,0.9374672685125434,0.989586098075975,0.6117053871903969,8.21537861998338
12.0,0.3626578066555826,0.350846815706597,1.0,8.317766166719343
13.0,0.0,1e-10,1.0,8.317766166719343
14.0,1.0,13.563514930097393,1.0,6.931471805599453
15.0,0.7146189276171262,0.19573025460307,0.389896933512205,8.21537861998338
16.0,0.0,0.6570212533799837,1.0,8.317766166719343
17.0,0.0,0.2882241078738465,0.6776341366577422,8.317766166719343
18.0,0.0,1e-10,1.0,8.317766166719343
19.0,0.0,1e-10,0.3014997890081039,8.317766166719343
20.0,1.0,20.0,0.8840277853953159,7.599028670327153
21.0,0.34106515359789696,15.446649300572595,1.0,6.9314719423727045
22.0,0.0,1e-10,0.37399861056692596,8.317766166719343
23.0,1.0,0.1398725444453964,0.0,8.010603526511453
24.0,0.004684642331964502,20.0,0.08973250187966508,8.045704101740986
25.0,1.0,0.2061810450049456,0.5142304699919272,7.289346945608935
26.0,0.0,1e-10,1.0,8.317766166719343
27.0,0.007989037686322814,20.0,0.4294211733702571,7.7740638103203885
28.0,0.6666558423508814,20.0,0.9924264202801455,6.832662795450851
29.0,0.5210695983009805,0.5216917823732554,0.19867707374167023,8.21537861998338
30.0,0.7910149456911468,0.4264567933445153,1.0,7.425468875869957
31.0,1.0,5.3169535487739115,1.0,6.931471923802662
32.0,0.0,1e-10,0.0,8.317766166719343
33.0,0.17252277957915516,0.8107482353237425,1.0,8.112991073247416
34.0,0.0,1e-10,0.7939982953967873,8.317766166719343
35.0,0.47093059241242075,0.2727956074237391,1.0,8.317766166719343
36.0,1.0,0.33733369042771966,1.0,7.425468875869957
37.0,0.0033305427533828853,20.0,0.40763297506823204,7.980765557799682
38.0,0.43002444915101884,0.3252664900678819,0.0,8.112991073247416
39.0,0.0,1e-10,0.10540829143473096,8.317766166719343
40.0,0.3117020347959941,1.439637657805663,0.0,6.29314331823256
41.0,1.0,5.312586868664653,0.0,6.931471925361316
42.0,0.4336044740709974,0.7808842273220339,0.35727378554352046,8.21537861998338
43.0,1.0,0.14903616114139973,0.8603380121404874,8.20012776522601
44.0,1.0,0.13987254166834556,0.0,8.010603526511453
45.0,0.0,1e-10,1.0,8.317766166719343
46.0,0.2708092696676774,0.5164983342348604,1.0,8.21537861998338
47.0,0.0077646954953967265,20.0,0.0,7.673152420588121
48.0,0.0,1e-10,1.0,8.317766166719343
49.0,0.6761150394431134,0.8250413468454241,0.2223544161677616,7.4254688758699565
50.0,0.0,1e-10,0.2177377958364775,8.317766166719343
51.0,0.8598088546644762,0.22821432911012451,0.14089587472357057,8.317766166719343
52.0,0.0,1e-10,0.9923198445882994,8.317766166719343
53.0,0.563298464804968,0.38199311729858526,0.6267069979350046,8.056043659011598
54.0,0.0,1e-10,0.9487138518726054,8.317766166719343
55.0,0.0,1e-10,1.0,8.317766166719343
56.0,0.5604286820173162,0.2495813554841023,1.0,8.21537861998338
57.0,0.40777250867580256,12.41842246360365,1.0,6.931472058145126
58.0,0.16370937788403306,0.8591288108829085,0.039431634574533914,8.317766166719343
59.0,0.0,0.2375031495695694,0.9171478436288429,8.317766166719343
60.0,0.0,1e-10,1.0,8.317766166719343
61.0,1.0,0.13987253684305406,0.0,7.908215979775488
62.0,0.0,1e-10,0.6189416211075512,8.317766166719343
63.0,0.13439015996663287,1.0407944776251268,1.0,8.112991073247414
64.0,0.01599967972337077,20.0,0.0,7.458161771668464
65.0,0.0,1e-10,0.8724446967132793,8.317766166719343
66.0,0.0,1e-10,0.634789338110964,8.317766166719343
67.0,1.0,0.1398725393144679,0.0,8.010603526511453
68.0,0.0,1e-10,0.757586747991589,8.317766166719343
69.0,0.037232587097810785,20.0,0.4335456641364599,7.173708906560323
70.0,0.0,1e-10,1.0,8.317766166719343
71.0,1.0,0.13987254154244114,0.0,7.9082159797754885
72.0,1.0,20.0,0.8668686304568486,7.64882463590554
73.0,1.0,4.6734138597884,0.0,5.545179074213164
74.0,0.0,1e-10,0.5097391264480478,8.317766166719343
75.0,0.0,1e-10,1.0,8.317766166719343
76.0,0.0,0.0474142847043564,0.2395869130728845,8.317766166719343
77.0,0.0,1e-10,1.0,8.317766166719343
78.0,0.0,1e-10,1.0,8.317766166719343
79.0,0.0,0.6620246936169382,0.9282923368745418,8.317766166719343
80.0,0.9999979015724024,20.0,0.9528603557719313,5.683839682669194
81.0,0.0013401575167434133,19.999999998342457,0.0,8.297736541259646
82.0,1.0,0.25787350275922827,0.0,7.423065296497046
