Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
1,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
2,1,4,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
3,2,2,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
4,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
5,0,2,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
6,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
7,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
8,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
9,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
10,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
11,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
12,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
13,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
14,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
15,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
16,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
17,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
18,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
19,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
20,1,1,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
21,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
22,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
23,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
24,2,3,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
25,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
26,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
27,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
28,1,2,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
29,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
30,2,1,0,1,0.5830499730568575,8.4410561213075,0.12403770353856106
31,1,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
32,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
33,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
34,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
35,1,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
36,1,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
37,0,4,1,1,0.5830499730568575,8.4410561213075,0.12403770353856106
