Trial,Stim_Sequence,Choice,Trustee_Response,Alpha,Beta,Subject
1,2,1,0,0.0831667655610347,0.44024616292001817,1
2,1,1,1,0.0831667655610347,0.44024616292001817,1
3,1,4,1,0.0831667655610347,0.44024616292001817,1
4,0,3,1,0.0831667655610347,0.44024616292001817,1
5,0,2,1,0.0831667655610347,0.44024616292001817,1
6,1,4,1,0.0831667655610347,0.44024616292001817,1
7,1,2,0,0.0831667655610347,0.44024616292001817,1
8,0,3,1,0.0831667655610347,0.44024616292001817,1
9,0,3,1,0.0831667655610347,0.44024616292001817,1
10,2,1,1,0.0831667655610347,0.44024616292001817,1
11,0,4,1,0.0831667655610347,0.44024616292001817,1
12,0,2,1,0.0831667655610347,0.44024616292001817,1
13,2,4,0,0.0831667655610347,0.44024616292001817,1
14,1,4,1,0.0831667655610347,0.44024616292001817,1
15,2,4,0,0.0831667655610347,0.44024616292001817,1
16,1,3,0,0.0831667655610347,0.44024616292001817,1
17,0,2,1,0.0831667655610347,0.44024616292001817,1
18,0,4,1,0.0831667655610347,0.44024616292001817,1
19,0,4,1,0.0831667655610347,0.44024616292001817,1
20,0,4,1,0.0831667655610347,0.44024616292001817,1
21,1,1,1,0.0831667655610347,0.44024616292001817,1
22,2,2,1,0.0831667655610347,0.44024616292001817,1
23,0,4,0,0.0831667655610347,0.44024616292001817,1
24,2,1,0,0.0831667655610347,0.44024616292001817,1
25,2,1,0,0.0831667655610347,0.44024616292001817,1
26,2,3,0,0.0831667655610347,0.44024616292001817,1
27,2,1,0,0.0831667655610347,0.44024616292001817,1
28,1,1,1,0.0831667655610347,0.44024616292001817,1
29,0,2,1,0.0831667655610347,0.44024616292001817,1
30,1,4,1,0.0831667655610347,0.44024616292001817,1
31,2,4,0,0.0831667655610347,0.44024616292001817,1
32,2,1,0,0.0831667655610347,0.44024616292001817,1
33,2,1,0,0.0831667655610347,0.44024616292001817,1
34,2,2,0,0.0831667655610347,0.44024616292001817,1
35,1,3,0,0.0831667655610347,0.44024616292001817,1
36,0,4,1,0.0831667655610347,0.44024616292001817,1
37,1,4,1,0.0831667655610347,0.44024616292001817,1
38,2,1,1,0.0831667655610347,0.44024616292001817,1
39,2,2,0,0.0831667655610347,0.44024616292001817,1
40,1,3,0,0.0831667655610347,0.44024616292001817,1
41,1,1,0,0.0831667655610347,0.44024616292001817,1
42,0,4,1,0.0831667655610347,0.44024616292001817,1
43,1,1,1,0.0831667655610347,0.44024616292001817,1
44,1,1,1,0.0831667655610347,0.44024616292001817,1
45,0,1,1,0.0831667655610347,0.44024616292001817,1
1,1,4,1,0.03787154050463481,4.2858574221386885,2
2,1,4,0,0.03787154050463481,4.2858574221386885,2
3,0,1,1,0.03787154050463481,4.2858574221386885,2
4,0,2,0,0.03787154050463481,4.2858574221386885,2
5,2,4,0,0.03787154050463481,4.2858574221386885,2
6,2,1,0,0.03787154050463481,4.2858574221386885,2
7,1,2,1,0.03787154050463481,4.2858574221386885,2
8,0,2,1,0.03787154050463481,4.2858574221386885,2
9,0,2,1,0.03787154050463481,4.2858574221386885,2
10,1,1,1,0.03787154050463481,4.2858574221386885,2
