Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,Decay
1,1,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
2,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
3,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
4,1,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
5,2,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
6,2,1,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
7,1,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
8,1,1,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
9,1,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
10,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
11,2,3,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
12,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
13,1,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
14,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
15,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
16,1,3,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
17,0,4,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
18,2,1,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
19,1,4,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
20,1,1,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
21,2,3,0,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
22,1,3,1,1,0.8226837389122046,0.2996269205491411,4.518131865394136,0.317977001750791
