Trial,Stim_Sequence,Choice,Trustee_Response,Beta,Subject
1,0,2,1,9.253938763839617,1
2,0,3,1,9.253938763839617,1
3,2,3,0,9.253938763839617,1
4,1,3,1,9.253938763839617,1
5,1,2,1,9.253938763839617,1
6,2,4,0,9.253938763839617,1
7,0,2,1,9.253938763839617,1
8,2,2,0,9.253938763839617,1
9,2,3,0,9.253938763839617,1
10,1,2,1,9.253938763839617,1
11,2,1,0,9.253938763839617,1
12,2,3,0,9.253938763839617,1
13,0,4,1,9.253938763839617,1
14,0,4,1,9.253938763839617,1
15,1,4,1,9.253938763839617,1
16,0,2,1,9.253938763839617,1
17,1,2,0,9.253938763839617,1
18,2,4,0,9.253938763839617,1
19,0,1,1,9.253938763839617,1
20,2,4,0,9.253938763839617,1
21,2,3,0,9.253938763839617,1
22,1,2,0,9.253938763839617,1
23,0,2,1,9.253938763839617,1
24,1,1,0,9.253938763839617,1
25,0,4,1,9.253938763839617,1
26,2,1,0,9.253938763839617,1
27,1,2,1,9.253938763839617,1
28,0,4,1,9.253938763839617,1
29,1,4,1,9.253938763839617,1
30,0,4,1,9.253938763839617,1
31,1,2,0,9.253938763839617,1
32,1,4,0,9.253938763839617,1
33,2,4,0,9.253938763839617,1
34,1,4,1,9.253938763839617,1
35,1,1,1,9.253938763839617,1
36,0,4,1,9.253938763839617,1
37,2,1,0,9.253938763839617,1
38,2,3,0,9.253938763839617,1
39,0,1,0,9.253938763839617,1
40,0,2,1,9.253938763839617,1
41,1,4,0,9.253938763839617,1
42,1,1,1,9.253938763839617,1
43,0,3,1,9.253938763839617,1
44,2,1,0,9.253938763839617,1
45,2,2,0,9.253938763839617,1
1,2,1,0,10.650114512916122,2
2,0,2,1,10.650114512916122,2
3,2,3,0,10.650114512916122,2
4,1,2,1,10.650114512916122,2
5,2,3,0,10.650114512916122,2
6,1,3,1,10.650114512916122,2
7,1,2,1,10.650114512916122,2
8,1,4,0,10.650114512916122,2
9,0,4,1,10.650114512916122,2
10,1,4,1,10.650114512916122,2
11,1,2,1,10.650114512916122,2
12,2,1,0,10.650114512916122,2
13,0,3,1,10.650114512916122,2
14,2,1,0,10.650114512916122,2
15,2,2,0,10.650114512916122,2
16,1,4,0,10.650114512916122,2
17,0,1,1,10.650114512916122,2
18,1,1,1,10.650114512916122,2
19,1,1,1,10.650114512916122,2
20,0,1,1,10.650114512916122,2
21,1,1,1,10.650114512916122,2
22,2,3,0,10.650114512916122,2
23,1,3,1,10.650114512916122,2
24,0,2,1,10.650114512916122,2
25,2,1,0,10.650114512916122,2
26,2,2,0,10.650114512916122,2
27,0,4,0,10.650114512916122,2
28,1,4,1,10.650114512916122,2
29,0,1,1,10.650114512916122,2
30,2,3,0,10.650114512916122,2
31,2,2,0,10.650114512916122,2
32,1,2,0,10.650114512916122,2
33,0,4,0,10.650114512916122,2
34,1,1,1,10.650114512916122,2
35,2,1,0,10.650114512916122,2
36,0,4,1,10.650114512916122,2
37,0,1,1,10.650114512916122,2
38,2,1,0,10.650114512916122,2
39,0,1,1,10.650114512916122,2
40,0,1,1,10.650114512916122,2
41,1,4,1,10.650114512916122,2
42,0,4,1,10.650114512916122,2
