Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
1,1,4,1,1,0.0,0,0.0
2,1,1,1,1,0.0,0,0.0
3,0,1,0,1,0.0,0,0.0
4,2,4,1,1,0.0,0,0.0
5,0,3,1,1,0.0,0,0.0
6,0,1,1,1,0.0,0,0.0
7,0,3,1,1,0.0,0,0.0
8,1,3,1,1,0.0,0,0.0
9,0,3,0,1,0.0,0,0.0
10,2,1,0,1,0.0,0,0.0
11,1,3,1,1,0.0,0,0.0
12,1,4,1,1,0.0,0,0.0
13,2,4,0,1,0.0,0,0.0
14,2,1,0,1,0.0,0,0.0
15,2,3,0,1,0.0,0,0.0
16,2,4,0,1,0.0,0,0.0
17,1,4,1,1,0.0,0,0.0
18,2,1,0,1,0.0,0,0.0
19,0,2,1,1,0.0,0,0.0
20,2,1,0,1,0.0,0,0.0
21,0,4,1,1,0.0,0,0.0
22,0,4,1,1,0.0,0,0.0
23,1,3,0,1,0.0,0,0.0
24,0,2,1,1,0.0,0,0.0
25,2,2,0,1,0.0,0,0.0
26,1,3,0,1,0.0,0,0.0
27,2,2,0,1,0.0,0,0.0
28,2,2,0,1,0.0,0,0.0
29,0,1,1,1,0.0,0,0.0
30,1,4,1,1,0.0,0,0.0
31,0,4,1,1,0.0,0,0.0
32,1,2,1,1,0.0,0,0.0
33,1,3,1,1,0.0,0,0.0
34,2,3,0,1,0.0,0,0.0
35,1,1,1,1,0.0,0,0.0
36,1,2,1,1,0.0,0,0.0
37,1,4,1,1,0.0,0,0.0
38,0,4,1,1,0.0,0,0.0
39,0,1,1,1,0.0,0,0.0
40,2,1,0,1,0.0,0,0.0
41,0,2,1,1,0.0,0,0.0
42,2,1,0,1,0.0,0,0.0
43,2,4,0,1,0.0,0,0.0
44,0,2,1,1,0.0,0,0.0
45,1,1,1,1,0.0,0,0.0
1,0,4,1,11,0.0,0,0.1
2,2,4,0,11,0.0,0,0.1
3,0,2,1,11,0.0,0,0.1
4,0,1,1,11,0.0,0,0.1
5,0,3,0,11,0.0,0,0.1
6,2,3,0,11,0.0,0,0.1
7,2,2,0,11,0.0,0,0.1
8,1,2,0,11,0.0,0,0.1
9,0,3,1,11,0.0,0,0.1
10,2,4,0,11,0.0,0,0.1
11,1,1,1,11,0.0,0,0.1
12,2,1,0,11,0.0,0,0.1
13,1,1,0,11,0.0,0,0.1
14,2,4,0,11,0.0,0,0.1
15,2,4,0,11,0.0,0,0.1
16,1,4,1,11,0.0,0,0.1
17,2,3,0,11,0.0,0,0.1
18,0,4,1,11,0.0,0,0.1
19,0,2,1,11,0.0,0,0.1
20,1,2,0,11,0.0,0,0.1
21,1,4,1,11,0.0,0,0.1
22,2,4,0,11,0.0,0,0.1
23,1,3,1,11,0.0,0,0.1
24,0,1,1,11,0.0,0,0.1
25,2,1,0,11,0.0,0,0.1
26,0,4,1,11,0.0,0,0.1
27,1,3,0,11,0.0,0,0.1
28,2,3,0,11,0.0,0,0.1
29,2,3,0,11,0.0,0,0.1
30,2,1,0,11,0.0,0,0.1
31,1,2,0,11,0.0,0,0.1
32,1,1,1,11,0.0,0,0.1
33,0,3,1,11,0.0,0,0.1
34,1,4,0,11,0.0,0,0.1
35,0,4,1,11,0.0,0,0.1
36,0,2,1,11,0.0,0,0.1
37,0,2,1,11,0.0,0,0.1
38,0,2,0,11,0.0,0,0.1
39,1,1,0,11,0.0,0,0.1
40,0,3,1,11,0.0,0,0.1
41,1,1,0,11,0.0,0,0.1
42,2,1,0,11,0.0,0,0.1
43,1,4,1,11,0.0,0,0.1
44,2,1,0,11,0.0,0,0.1
45,1,2,0,11,0.0,0,0.1
1,1,1,0,21,0.0,0,0.2
2,1,2,0,21,0.0,0,0.2
3,2,4,0,21,0.0,0,0.2
4,1,4,0,21,0.0,0,0.2
5,0,2,1,21,0.0,0,0.2
6,0,2,1,21,0.0,0,0.2
7,0,4,1,21,0.0,0,0.2
8,2,1,0,21,0.0,0,0.2
9,0,2,1,21,0.0,0,0.2
10,0,4,1,21,0.0,0,0.2
11,1,3,0,21,0.0,0,0.2
12,2,4,0,21,0.0,0,0.2
13,0,3,0,21,0.0,0,0.2
14,2,1,0,21,0.0,0,0.2
15,1,1,0,21,0.0,0,0.2
16,0,4,1,21,0.0,0,0.2
17,2,1,0,21,0.0,0,0.2
18,0,2,1,21,0.0,0,0.2
19,1,4,1,21,0.0,0,0.2
20,2,1,0,21,0.0,0,0.2
21,1,1,0,21,0.0,0,0.2
22,2,1,0,21,0.0,0,0.2
23,0,2,1,21,0.0,0,0.2
24,1,3,0,21,0.0,0,0.2
25,2,3,0,21,0.0,0,0.2
26,0,1,1,21,0.0,0,0.2
27,2,2,0,21,0.0,0,0.2
28,0,1,1,21,0.0,0,0.2
29,0,3,0,21,0.0,0,0.2
30,1,2,0,21,0.0,0,0.2
31,2,1,0,21,0.0,0,0.2
32,1,4,1,21,0.0,0,0.2
33,1,4,1,21,0.0,0,0.2
34,2,3,0,21,0.0,0,0.2
35,0,3,1,21,0.0,0,0.2
36,2,2,0,21,0.0,0,0.2
37,1,2,1,21,0.0,0,0.2
38,1,2,0,21,0.0,0,0.2
39,2,1,0,21,0.0,0,0.2
40,0,4,1,21,0.0,0,0.2
41,2,1,0,21,0.0,0,0.2
42,1,4,1,21,0.0,0,0.2
43,1,2,1,21,0.0,0,0.2
44,0,3,1,21,0.0,0,0.2
45,2,3,0,21,0.0,0,0.2
1,0,1,1,31,0.0,0,0.3
2,1,3,0,31,0.0,0,0.3
3,0,1,1,31,0.0,0,0.3
4,2,2,0,31,0.0,0,0.3
5,2,4,0,31,0.0,0,0.3
6,0,3,1,31,0.0,0,0.3
7,1,2,1,31,0.0,0,0.3
8,2,4,0,31,0.0,0,0.3
9,0,1,1,31,0.0,0,0.3
10,1,3,1,31,0.0,0,0.3
11,2,4,0,31,0.0,0,0.3
12,1,4,1,31,0.0,0,0.3
13,2,1,1,31,0.0,0,0.3
14,0,4,1,31,0.0,0,0.3
15,2,3,0,31,0.0,0,0.3
16,1,1,1,31,0.0,0,0.3
17,1,1,0,31,0.0,0,0.3
18,1,4,0,31,0.0,0,0.3
19,0,4,1,31,0.0,0,0.3
20,1,4,0,31,0.0,0,0.3
21,1,1,0,31,0.0,0,0.3
22,0,4,1,31,0.0,0,0.3
23,1,4,1,31,0.0,0,0.3
24,0,1,1,31,0.0,0,0.3
25,1,4,1,31,0.0,0,0.3
26,2,4,0,31,0.0,0,0.3
27,0,3,1,31,0.0,0,0.3
28,0,4,1,31,0.0,0,0.3
29,0,2,0,31,0.0,0,0.3
30,2,4,0,31,0.0,0,0.3
31,0,1,1,31,0.0,0,0.3
32,1,2,0,31,0.0,0,0.3
33,1,1,0,31,0.0,0,0.3
34,2,2,0,31,0.0,0,0.3
35,1,1,0,31,0.0,0,0.3
36,0,3,1,31,0.0,0,0.3
37,2,1,0,31,0.0,0,0.3
38,2,2,1,31,0.0,0,0.3
39,0,4,1,31,0.0,0,0.3
40,2,4,0,31,0.0,0,0.3
41,1,4,0,31,0.0,0,0.3
42,2,2,0,31,0.0,0,0.3
43,0,2,1,31,0.0,0,0.3
44,2,3,0,31,0.0,0,0.3
45,2,3,0,31,0.0,0,0.3
1,1,4,0,41,0.0,0,0.4
2,1,2,1,41,0.0,0,0.4
3,2,3,0,41,0.0,0,0.4
4,2,1,0,41,0.0,0,0.4
5,1,2,0,41,0.0,0,0.4
6,2,3,0,41,0.0,0,0.4
7,2,1,0,41,0.0,0,0.4
8,1,4,1,41,0.0,0,0.4
9,1,1,0,41,0.0,0,0.4
10,2,3,0,41,0.0,0,0.4
11,0,2,1,41,0.0,0,0.4
12,0,2,1,41,0.0,0,0.4
13,1,1,0,41,0.0,0,0.4
14,1,4,0,41,0.0,0,0.4
15,0,4,1,41,0.0,0,0.4
16,1,1,1,41,0.0,0,0.4
17,2,4,0,41,0.0,0,0.4
18,1,1,1,41,0.0,0,0.4
19,0,1,1,41,0.0,0,0.4
20,1,3,1,41,0.0,0,0.4
21,1,2,1,41,0.0,0,0.4
22,2,4,0,41,0.0,0,0.4
23,0,3,1,41,0.0,0,0.4
24,2,3,0,41,0.0,0,0.4
25,0,1,1,41,0.0,0,0.4
26,2,2,1,41,0.0,0,0.4
27,0,2,1,41,0.0,0,0.4
28,2,4,0,41,0.0,0,0.4
29,2,2,0,41,0.0,0,0.4
30,1,4,0,41,0.0,0,0.4
31,0,4,1,41,0.0,0,0.4
32,0,2,0,41,0.0,0,0.4
33,0,1,0,41,0.0,0,0.4
34,2,2,0,41,0.0,0,0.4
35,1,4,0,41,0.0,0,0.4
36,0,2,1,41,0.0,0,0.4
37,1,3,1,41,0.0,0,0.4
38,2,2,0,41,0.0,0,0.4
39,0,3,1,41,0.0,0,0.4
40,1,2,1,41,0.0,0,0.4
41,0,4,1,41,0.0,0,0.4
42,2,3,0,41,0.0,0,0.4
43,0,2,1,41,0.0,0,0.4
44,0,2,1,41,0.0,0,0.4
45,2,4,0,41,0.0,0,0.4
1,1,4,1,51,0.0,0,0.5
2,0,4,0,51,0.0,0,0.5
3,0,1,1,51,0.0,0,0.5
4,2,4,1,51,0.0,0,0.5
5,0,1,1,51,0.0,0,0.5
6,2,1,0,51,0.0,0,0.5
7,1,3,0,51,0.0,0,0.5
8,1,2,0,51,0.0,0,0.5
9,2,4,0,51,0.0,0,0.5
10,0,3,1,51,0.0,0,0.5
11,1,3,1,51,0.0,0,0.5
12,0,2,1,51,0.0,0,0.5
13,1,2,1,51,0.0,0,0.5
14,1,2,0,51,0.0,0,0.5
15,2,2,0,51,0.0,0,0.5
16,1,4,1,51,0.0,0,0.5
17,0,2,1,51,0.0,0,0.5
18,0,1,1,51,0.0,0,0.5
19,1,1,1,51,0.0,0,0.5
20,2,1,0,51,0.0,0,0.5
21,0,3,1,51,0.0,0,0.5
22,1,4,1,51,0.0,0,0.5
23,0,2,1,51,0.0,0,0.5
24,0,4,1,51,0.0,0,0.5
25,1,4,1,51,0.0,0,0.5
26,0,1,1,51,0.0,0,0.5
27,2,3,1,51,0.0,0,0.5
28,0,1,0,51,0.0,0,0.5
29,2,3,1,51,0.0,0,0.5
30,1,1,1,51,0.0,0,0.5
31,2,4,0,51,0.0,0,0.5
32,2,1,0,51,0.0,0,0.5
33,0,2,1,51,0.0,0,0.5
34,0,3,1,51,0.0,0,0.5
35,2,2,0,51,0.0,0,0.5
36,0,3,1,51,0.0,0,0.5
37,2,4,0,51,0.0,0,0.5
38,2,4,0,51,0.0,0,0.5
39,2,4,0,51,0.0,0,0.5
40,1,4,1,51,0.0,0,0.5
41,1,2,1,51,0.0,0,0.5
42,2,1,1,51,0.0,0,0.5
43,1,4,0,51,0.0,0,0.5
44,2,1,0,51,0.0,0,0.5
45,1,4,0,51,0.0,0,0.5
1,1,2,0,61,0.0,0,0.6
2,0,4,1,61,0.0,0,0.6
3,0,2,1,61,0.0,0,0.6
4,2,1,0,61,0.0,0,0.6
5,1,2,0,61,0.0,0,0.6
6,1,3,1,61,0.0,0,0.6
7,0,2,1,61,0.0,0,0.6
8,0,3,1,61,0.0,0,0.6
9,1,4,1,61,0.0,0,0.6
10,0,3,1,61,0.0,0,0.6
11,1,4,1,61,0.0,0,0.6
12,1,4,1,61,0.0,0,0.6
13,1,1,0,61,0.0,0,0.6
14,2,2,0,61,0.0,0,0.6
15,1,1,0,61,0.0,0,0.6
16,1,2,0,61,0.0,0,0.6
17,2,2,0,61,0.0,0,0.6
18,1,4,1,61,0.0,0,0.6
19,0,4,1,61,0.0,0,0.6
20,0,1,1,61,0.0,0,0.6
21,2,1,0,61,0.0,0,0.6
22,0,3,1,61,0.0,0,0.6
23,2,2,1,61,0.0,0,0.6
24,2,4,0,61,0.0,0,0.6
25,2,3,1,61,0.0,0,0.6
26,1,1,0,61,0.0,0,0.6
27,2,1,0,61,0.0,0,0.6
28,2,4,0,61,0.0,0,0.6
29,2,4,0,61,0.0,0,0.6
30,1,4,0,61,0.0,0,0.6
31,1,4,1,61,0.0,0,0.6
32,0,3,1,61,0.0,0,0.6
33,0,1,1,61,0.0,0,0.6
34,1,1,0,61,0.0,0,0.6
35,2,1,0,61,0.0,0,0.6
36,2,4,0,61,0.0,0,0.6
37,0,4,1,61,0.0,0,0.6
38,0,4,1,61,0.0,0,0.6
39,2,2,0,61,0.0,0,0.6
40,0,1,1,61,0.0,0,0.6
41,2,3,0,61,0.0,0,0.6
42,0,4,1,61,0.0,0,0.6
43,2,2,0,61,0.0,0,0.6
44,0,3,1,61,0.0,0,0.6
45,1,3,1,61,0.0,0,0.6
1,0,3,1,71,0.0,0,0.7
2,2,1,0,71,0.0,0,0.7
3,1,4,0,71,0.0,0,0.7
