Subject,alpha,beta,decay
1.0,0.0,1e-10,1.0
2.0,1.0,0.1398725423846612,0.0
3.0,1.0,5.563630335476501,0.9748621859025319
4.0,0.019950537855224545,20.0,0.0
5.0,0.0,1e-10,1.0
6.0,0.00105690693746825,20.0,0.0
7.0,1.0,20.0,0.9224818340182149
8.0,0.0,1e-10,1.0
9.0,0.016470595992848468,20.0,1.0
10.0,0.0,0.4113746843109152,1.0
11.0,0.0014015325967000672,14.086820676286129,0.3213196144080952
12.0,1.0,0.13987253591350096,1.0
13.0,0.650461792710324,0.022578534845164543,0.9507406414655462
14.0,0.0,1e-10,1.0
15.0,0.0,1e-10,1.0
16.0,0.011201137010210454,20.0,0.6603433532068188
17.0,0.0,1e-10,0.8679585037126855
18.0,1.0,0.044670189336082716,0.0
19.0,0.0,1e-10,1.0
20.0,0.0,1e-10,0.6679191608361991
21.0,0.0,1e-10,0.1874503998672781
22.0,0.0016939402554979168,20.0,0.0
23.0,1.0,20.0,0.9873710890788527
24.0,1.0,0.02671516421623976,0.0
25.0,1.0,0.026715165621850456,0.0
26.0,1.0,0.02671507657307827,0.0
27.0,0.9701728008288387,0.15309518491102084,0.35919264041655585
28.0,0.005333592407379247,20.0,0.0
29.0,1.0,1.528017351518486,0.7792343864666774
30.0,0.0,1e-10,0.4811507339580926
31.0,1.0,0.22466546935427095,0.0
32.0,0.1339260700045885,0.3335437273711317,0.0
33.0,1.0,0.3269604361163251,0.4369508290779223
34.0,0.0,1e-10,0.9245240218800275
35.0,1.0,0.13987254374242894,0.0
36.0,1.0,0.14069895761720588,0.8257299337402711
37.0,0.0,1e-10,1.0
38.0,0.004722376430224667,20.0,1.0
39.0,0.0,1e-10,1.0
40.0,0.9999787004040004,0.13987551705542425,1.0
41.0,0.0,1e-10,1.0
42.0,0.320236846210804,0.436778411263437,1.0
43.0,0.0,1e-10,0.489348635623352
44.0,0.0,1e-10,0.6662755817786712
45.0,0.0,1e-10,1.0
46.0,0.12083500093303372,20.0,0.8575679370449599
47.0,0.005483263097553334,20.0,0.07221411805103668
48.0,1.0,0.4648141727384497,0.41077399917057794
49.0,0.0,1e-10,1.0
50.0,1.0,6.638702384235842,1.0
51.0,0.0,1e-10,1.0
52.0,1.0,0.06743666179887224,0.0
53.0,1.0,0.14447445825390617,0.860440775846999
54.0,1.0,11.918427807478837,0.5022900693641577
55.0,0.0,1e-10,0.9344492100158319
56.0,1.0,20.0,0.0
57.0,0.0,1e-10,0.32813970137871074
58.0,0.0,1e-10,0.6169255590353752
59.0,0.0,1e-10,0.7303719068459407
60.0,0.0,0.018716931000595263,1.0
61.0,1.0,20.0,0.669074244057334
62.0,0.2508513356418418,0.8062526429668969,1.0
63.0,0.0022564007798233083,20.0,0.70283011083417
64.0,1.0,4.428062277982381,0.19802488981764121
65.0,0.6666803690069186,0.1456727064875476,0.0
66.0,0.5517518224679561,0.6113866504192668,-1.1102230246251565e-16
67.0,0.0029071926988241624,20.0,0.0
68.0,0.0,1e-10,1.0
69.0,1.0,4.672480048647468,1.0
70.0,0.010032598688859844,20.0,0.0
71.0,0.0,1e-10,1.0
72.0,0.0,0.2820747870585338,1.0
73.0,0.010898714415827362,20.0,0.0
