Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta
1,0,1,1,1,0.0,0
2,0,2,1,1,0.0,0
3,1,1,1,1,0.0,0
4,0,2,1,1,0.0,0
5,0,3,1,1,0.0,0
6,0,1,1,1,0.0,0
7,2,4,0,1,0.0,0
8,2,1,0,1,0.0,0
9,2,1,0,1,0.0,0
10,1,4,1,1,0.0,0
11,2,4,0,1,0.0,0
12,2,1,0,1,0.0,0
13,2,2,0,1,0.0,0
14,2,2,0,1,0.0,0
15,1,2,1,1,0.0,0
16,0,1,1,1,0.0,0
17,2,2,0,1,0.0,0
18,2,2,0,1,0.0,0
19,2,2,0,1,0.0,0
20,0,1,1,1,0.0,0
21,1,2,0,1,0.0,0
22,0,4,1,1,0.0,0
23,2,1,0,1,0.0,0
24,2,4,0,1,0.0,0
25,1,2,1,1,0.0,0
26,1,4,1,1,0.0,0
27,2,3,0,1,0.0,0
28,2,3,0,1,0.0,0
29,1,1,1,1,0.0,0
30,0,3,1,1,0.0,0
31,0,3,1,1,0.0,0
32,1,1,1,1,0.0,0
33,0,3,1,1,0.0,0
34,1,2,0,1,0.0,0
35,1,4,1,1,0.0,0
36,0,1,1,1,0.0,0
37,0,2,1,1,0.0,0
38,1,4,1,1,0.0,0
39,0,3,1,1,0.0,0
40,1,4,0,1,0.0,0
41,0,3,1,1,0.0,0
42,2,2,0,1,0.0,0
43,1,4,1,1,0.0,0
44,1,2,1,1,0.0,0
45,1,4,1,1,0.0,0
1,2,2,0,2,0.0,0
2,2,4,0,2,0.0,0
3,1,1,0,2,0.0,0
4,0,1,1,2,0.0,0
5,0,4,1,2,0.0,0
6,1,1,1,2,0.0,0
7,0,3,1,2,0.0,0
8,2,3,0,2,0.0,0
9,1,3,0,2,0.0,0
10,2,1,0,2,0.0,0
11,2,1,0,2,0.0,0
12,1,3,1,2,0.0,0
13,2,2,0,2,0.0,0
14,0,1,1,2,0.0,0
15,1,4,1,2,0.0,0
16,2,1,0,2,0.0,0
17,1,4,0,2,0.0,0
18,2,3,0,2,0.0,0
19,0,3,1,2,0.0,0
20,2,2,0,2,0.0,0
21,1,1,0,2,0.0,0
22,0,3,0,2,0.0,0
23,1,3,1,2,0.0,0
24,2,2,0,2,0.0,0
25,1,4,1,2,0.0,0
26,2,2,0,2,0.0,0
27,0,2,1,2,0.0,0
28,0,3,0,2,0.0,0
29,0,2,1,2,0.0,0
30,1,4,0,2,0.0,0
31,1,1,1,2,0.0,0
32,2,1,0,2,0.0,0
33,1,3,0,2,0.0,0
34,2,2,0,2,0.0,0
35,0,2,1,2,0.0,0
36,0,2,1,2,0.0,0
37,0,2,1,2,0.0,0
38,1,4,0,2,0.0,0
39,0,2,1,2,0.0,0
40,1,3,1,2,0.0,0
41,1,1,0,2,0.0,0
42,2,4,0,2,0.0,0
43,0,4,1,2,0.0,0
44,0,1,1,2,0.0,0
45,2,3,0,2,0.0,0
1,2,1,0,3,0.0,0
2,0,2,1,3,0.0,0
