Subject,alpha,beta
1.0,1.0,0.2578735006091834
2.0,0.004509527462292117,20.0
3.0,0.0,1e-10
4.0,0.07310877498862718,0.6110100195713972
5.0,0.0,1e-10
6.0,0.0,1e-10
7.0,1.0,0.06743666679114184
8.0,0.0,1e-10
9.0,0.0,1e-10
10.0,0.0,1e-10
11.0,0.0,1e-10
12.0,0.0,1e-10
13.0,0.007571182019554667,20.0
14.0,0.0,1e-10
15.0,0.00776469539026066,20.0
16.0,0.0,1e-10
17.0,0.0,1e-10
18.0,0.9375670682765271,16.365743052187227
19.0,0.0,1e-10
20.0,0.30545643450903015,0.4579132348035934
21.0,0.0,1e-10
22.0,0.01995054023931321,20.0
23.0,0.0,1e-10
24.0,0.01089871415464384,20.0
25.0,0.006957669940276477,20.0
26.0,1.0,0.06743666018888585
27.0,0.0,1e-10
28.0,0.00802612415574928,20.0
29.0,0.0,1e-10
30.0,0.0,1e-10
31.0,0.0,1e-10
32.0,0.5995955301652295,0.5626020991421364
33.0,0.0,1e-10
34.0,1.0,7.005908243854745
35.0,0.006887508257282268,20.0
36.0,0.01562629469100653,20.0
37.0,0.0,1e-10
38.0,0.0077917930809938245,20.0
39.0,0.24107219294568905,0.5802101604478365
40.0,0.0,1e-10
41.0,0.0,1e-10
42.0,0.0,1e-10
43.0,0.0,1e-10
44.0,0.0009537251230916709,20.0
45.0,0.0,1e-10
46.0,0.017814447703511406,20.0
47.0,0.0,1e-10
48.0,0.0,1e-10
49.0,0.0,1e-10
50.0,1.0,0.13987253732357505
51.0,0.0,1e-10
52.0,1.0,0.33733369042181044
53.0,0.0,1e-10
54.0,1.0,0.13987254041842073
55.0,1.0,0.13987253634441005
56.0,0.0076240285914610335,20.0
57.0,0.5184234549413422,0.498296311502752
58.0,0.0,1e-10
59.0,0.2846162051987349,0.4914426511536591
60.0,0.012084516300742632,20.0
61.0,0.0,1e-10
62.0,1.0,0.13987253809609482
63.0,0.8339369538265303,0.16772555823758026
64.0,0.0,1e-10
65.0,0.0,1e-10
66.0,0.0,1e-10
67.0,0.0,1e-10
68.0,0.0,1e-10
69.0,0.0,1e-10
70.0,0.0,1e-10
71.0,0.0,1e-10
72.0,0.0,1e-10
73.0,1.0,0.06743665852770114
74.0,1.0,0.1398725423093328
75.0,1.0,0.06743665488831024
76.0,1.0,0.5291336552643868
77.0,0.0,1e-10
78.0,0.0,1e-10
79.0,0.0,1e-10
80.0,0.00224073144775679,20.0
81.0,0.006992043743240852,20.0
82.0,0.13310236614976612,1.6175791072990562
83.0,0.0,1e-10
84.0,0.8987016598039831,0.9528530122446697
85.0,1.0,0.13987253635725153
86.0,0.016207072202987685,20.0
87.0,1.0,0.2246654663272048
88.0,0.757779735415917,0.44516061907813526
89.0,1.0,13.287258096878507
90.0,0.0,1e-10
91.0,0.3284746649137751,0.7850635885905036
92.0,0.0,1e-10
93.0,0.0,1e-10
94.0,0.3117020761640071,1.4396374448787934
95.0,0.0016879960395444237,20.0
96.0,0.0,1e-10
97.0,0.0,1e-10
98.0,1.0,4.440273907440261
99.0,1.0,0.13987253566503477
100.0,0.0,1e-10
101.0,0.17442099583879206,0.8019249305407057
102.0,0.0,1e-10
103.0,0.0,1e-10
104.0,1.0,11.12370901452372
105.0,1.0,0.44873798170318513
106.0,0.01995053956016715,20.0
107.0,0.0,1e-10
108.0,0.14466216195291154,0.966891021040726
109.0,1.0,0.22466546998810355
110.0,0.11992157476507881,0.5623397175488233
111.0,0.0028950081109087697,20.0
112.0,0.0,1e-10
113.0,1.0,0.1398725383895292
114.0,1.0,0.06743665833769844
115.0,0.0,1e-10
116.0,0.0009500856122964643,20.0
117.0,1.0,0.398499897344391
118.0,0.693848052438723,0.9252266691832938
119.0,0.0,1e-10
120.0,0.0,1e-10
121.0,0.020873117365933256,20.0
122.0,1.0,12.532498570259007
123.0,0.007989037718600525,20.0
124.0,0.3117020397432256,1.439637606809775
125.0,1.0,4.440691992686113
126.0,0.2023191926999175,0.22079068618264464
127.0,1.0,0.06743666465926675
128.0,0.019950539430172665,20.0
129.0,0.0,1e-10
130.0,0.019950539016446295,20.0
131.0,0.044646427141807776,20.0
132.0,1.0,10.621589618124094
133.0,1.0,0.2578734998145985
134.0,0.3961207379849037,0.8515931134394835
135.0,1.0,12.674370480203548
136.0,0.8969959365109718,0.3760704824317379
137.0,1.0,0.13987253584046486
138.0,0.9328552420074705,0.36161418484263874
139.0,0.020873116578120035,20.0
140.0,0.024176684548385723,20.0
141.0,0.04544049197669498,20.0
142.0,0.0554268388594036,20.0
143.0,1.0,7.8172151449504526
144.0,1.0,16.1735894336239
145.0,1.0,12.626165438080408
146.0,0.993647171095241,8.918769143576682
147.0,0.9363927784193616,14.142014801203713
148.0,0.015626294678513265,20.0
149.0,0.3469501440214693,0.972282899620288
150.0,1.0,14.52144270626327
151.0,0.6518364734996606,0.688421101680893
152.0,0.9738048410110652,11.396589954508624
153.0,1.0,14.092455208487262
154.0,0.020873117138564,20.0
155.0,1.0,0.44873798261607684
156.0,1.0,9.390156757644792
157.0,1.0,14.335198637998554
158.0,0.01562629465834346,20.0
