Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Beta
1,1,2,0,1,0
2,0,3,1,1,0
3,2,3,0,1,0
4,0,3,1,1,0
5,0,2,1,1,0
6,1,3,1,1,0
7,2,1,0,1,0
8,2,1,0,1,0
9,1,1,1,1,0
10,2,4,0,1,0
11,0,4,1,1,0
12,0,2,1,1,0
13,2,3,1,1,0
14,1,4,0,1,0
15,2,1,0,1,0
16,1,4,0,1,0
17,0,2,1,1,0
18,2,3,0,1,0
19,2,2,0,1,0
20,0,1,1,1,0
21,1,4,1,1,0
22,1,4,1,1,0
23,2,3,0,1,0
24,2,3,0,1,0
25,0,2,1,1,0
26,1,1,1,1,0
27,0,3,1,1,0
28,2,1,0,1,0
29,1,3,1,1,0
30,1,1,1,1,0
31,1,4,0,1,0
32,0,4,1,1,0
33,0,4,1,1,0
34,0,3,1,1,0
35,2,2,0,1,0
36,2,3,0,1,0
37,1,3,0,1,0
38,0,3,1,1,0
39,2,3,0,1,0
40,1,3,1,1,0
41,1,3,1,1,0
42,1,4,0,1,0
43,0,2,1,1,0
44,0,2,1,1,0
45,2,1,0,1,0
1,2,4,0,2,0
2,0,1,1,2,0
3,2,1,0,2,0
4,0,1,1,2,0
5,1,2,1,2,0
6,1,3,1,2,0
7,1,2,1,2,0
8,1,3,1,2,0
9,0,2,1,2,0
10,2,1,1,2,0
11,0,2,1,2,0
12,2,3,0,2,0
13,0,4,1,2,0
14,0,1,1,2,0
15,2,1,0,2,0
16,1,1,1,2,0
17,1,3,0,2,0
18,2,2,0,2,0
19,0,4,1,2,0
20,2,2,0,2,0
21,1,2,1,2,0
22,1,2,0,2,0
23,1,1,0,2,0
24,2,4,0,2,0
25,2,4,0,2,0
26,2,1,0,2,0
27,2,3,0,2,0
28,0,4,1,2,0
29,0,4,1,2,0
30,2,1,0,2,0
31,1,1,0,2,0
32,1,4,0,2,0
33,1,2,0,2,0
34,0,3,1,2,0
35,2,2,1,2,0
36,1,4,1,2,0
37,1,4,1,2,0
38,0,1,1,2,0
39,0,2,1,2,0
40,0,1,1,2,0
41,2,2,0,2,0
42,0,2,1,2,0
43,1,2,0,2,0
44,2,2,0,2,0
45,0,4,1,2,0
1,1,3,1,3,0
2,2,3,0,3,0
3,1,3,0,3,0
4,0,1,1,3,0
5,0,1,1,3,0
6,0,1,1,3,0
7,0,1,1,3,0
8,2,2,0,3,0
9,2,2,0,3,0
10,0,4,1,3,0
11,0,2,1,3,0
12,2,3,0,3,0
13,2,4,0,3,0
14,1,3,1,3,0
15,0,2,1,3,0
16,2,4,0,3,0
17,0,1,1,3,0
18,1,3,1,3,0
19,2,4,0,3,0
20,2,1,0,3,0
21,1,4,1,3,0
22,1,2,0,3,0
23,0,4,1,3,0
24,0,2,1,3,0
25,2,2,0,3,0
26,2,2,0,3,0
27,0,4,1,3,0
28,2,4,0,3,0
29,1,2,0,3,0
30,1,4,1,3,0
31,2,1,1,3,0
32,0,4,1,3,0
33,1,4,0,3,0
34,1,1,1,3,0
35,1,1,0,3,0
36,1,2,0,3,0
37,0,1,1,3,0
38,2,2,0,3,0
39,0,3,1,3,0
40,1,1,1,3,0
41,1,1,1,3,0
42,2,3,0,3,0
43,2,1,0,3,0
44,1,1,1,3,0
45,0,4,1,3,0
1,2,3,0,4,0
2,0,1,1,4,0
3,1,1,1,4,0
4,1,3,0,4,0
5,1,4,0,4,0
6,1,4,1,4,0
7,0,2,1,4,0
8,0,3,1,4,0
9,2,1,0,4,0
10,2,1,0,4,0
11,2,2,0,4,0
12,1,1,0,4,0
13,2,3,0,4,0
14,0,3,1,4,0
15,1,3,1,4,0
16,1,1,1,4,0
17,1,4,1,4,0
18,1,4,1,4,0
19,1,1,1,4,0
20,2,1,0,4,0
21,0,3,1,4,0
22,2,2,0,4,0
23,2,2,1,4,0
24,1,3,1,4,0
25,1,3,0,4,0
26,1,3,0,4,0
27,2,3,0,4,0
28,0,4,1,4,0
29,0,1,1,4,0
30,0,1,1,4,0
31,2,1,0,4,0
32,1,4,0,4,0
33,2,1,0,4,0
34,2,3,0,4,0
35,0,3,1,4,0
36,2,1,0,4,0
37,1,2,1,4,0
38,0,4,1,4,0
39,0,2,1,4,0
40,2,1,0,4,0
41,0,2,1,4,0
42,0,4,1,4,0
43,0,4,1,4,0
44,0,4,0,4,0
45,2,4,0,4,0
1,1,2,1,5,0
2,0,3,1,5,0
3,2,2,0,5,0
4,0,2,0,5,0
5,0,1,1,5,0
6,1,3,0,5,0
7,1,2,0,5,0
8,1,1,0,5,0
9,2,3,0,5,0
10,2,4,0,5,0
11,0,3,1,5,0
12,1,3,1,5,0
13,2,4,0,5,0
14,1,1,0,5,0
15,2,1,0,5,0
16,0,2,1,5,0
17,1,2,1,5,0
18,2,2,0,5,0
19,0,2,1,5,0
20,0,3,1,5,0
21,1,4,1,5,0
22,0,4,1,5,0
23,0,4,1,5,0
24,2,2,0,5,0
25,0,4,1,5,0
26,1,4,0,5,0
27,0,2,1,5,0
28,1,4,1,5,0
29,2,4,0,5,0
30,2,2,0,5,0
31,2,3,0,5,0
32,0,2,1,5,0
33,2,3,0,5,0
34,2,1,0,5,0
35,2,3,0,5,0
36,0,1,0,5,0
37,0,2,1,5,0
38,1,4,1,5,0
39,1,3,0,5,0
40,1,4,0,5,0
41,0,3,1,5,0
42,2,2,0,5,0
43,2,1,0,5,0
44,1,4,0,5,0
45,1,3,0,5,0
1,1,3,0,6,0
2,0,1,1,6,0
3,2,3,0,6,0
4,0,2,1,6,0
5,2,1,0,6,0
6,1,3,0,6,0
7,0,4,1,6,0
8,2,2,0,6,0
9,1,3,0,6,0
10,2,1,0,6,0
11,1,4,1,6,0
12,1,1,1,6,0
13,2,4,0,6,0
14,0,3,1,6,0
15,0,4,1,6,0
16,0,4,1,6,0
17,0,4,1,6,0
18,2,1,0,6,0
19,1,1,1,6,0
20,1,4,0,6,0
21,2,2,0,6,0
22,1,2,1,6,0
23,2,4,1,6,0
24,2,2,0,6,0
25,0,2,1,6,0
26,1,3,1,6,0
27,0,4,1,6,0
28,2,4,0,6,0
29,1,1,0,6,0
30,0,2,1,6,0
31,2,2,0,6,0
32,2,1,0,6,0
33,1,1,1,6,0
34,0,2,1,6,0
35,1,1,0,6,0
36,1,4,0,6,0
37,0,3,1,6,0
38,2,2,0,6,0
39,0,3,1,6,0
40,2,2,0,6,0
41,1,4,1,6,0
42,0,4,1,6,0
43,1,4,0,6,0
44,2,1,0,6,0
45,0,1,1,6,0
1,0,2,1,7,0
2,0,1,1,7,0
3,0,2,1,7,0
4,2,2,0,7,0
5,0,4,1,7,0
6,2,4,0,7,0
7,0,2,1,7,0
8,2,3,0,7,0
9,2,1,0,7,0
10,0,4,1,7,0
11,1,4,0,7,0
12,0,3,1,7,0
13,2,3,0,7,0
14,1,1,0,7,0
15,2,3,0,7,0
16,1,2,0,7,0
17,2,2,0,7,0
18,2,3,0,7,0
19,2,3,0,7,0
20,1,3,1,7,0
21,0,4,0,7,0
22,1,1,1,7,0
23,0,2,1,7,0
24,1,3,0,7,0
25,0,1,1,7,0
