id,trial,prob_recip,pe,svcho
sub-2022,1,0.5,-0.5,9.0
sub-2022,2,0.5,-0.5,9.0
sub-2022,3,0.5,-0.5,9.0
sub-2022,4,0.5,0.5,9.0
sub-2022,5,0.5,-0.5,9.0
sub-2022,6,0.5,-0.5,9.0
sub-2022,7,0.5,0.5,9.0
sub-2022,8,1.0,-1.0,18.0
sub-2022,9,1.0,0.0,12.0
sub-2022,10,1.0,0.0,12.0
sub-2022,11,0.5,-0.5,9.0
sub-2022,12,0.5,0.5,9.0
sub-2022,13,0.5,-0.5,9.0
sub-2022,14,0.5,0.5,9.0
sub-2022,15,0.5,0.5,9.0
sub-2022,16,0.5,-0.5,9.0
sub-2022,17,0.5,0.5,9.0
sub-2022,18,1.0,0.0,18.0
sub-2022,19,0.5,-0.5,9.0
sub-2022,20,0.5,-0.5,9.0
sub-2022,21,0.5,0.5,9.0
sub-2022,22,0.5,-0.5,9.0
sub-2022,23,0.5,-0.5,9.0
sub-2022,24,0.5,-0.5,9.0
sub-2022,25,0.5,-0.5,9.0
sub-2022,26,0.5,0.5,9.0
sub-2022,27,0.5,-0.5,9.0
sub-2022,28,0.5,0.5,9.0
sub-2022,29,1.0,0.0,12.0
sub-2022,30,0.5,-0.5,9.0
sub-2022,31,0.5,-0.5,9.0
sub-2022,32,0.5,-0.5,9.0
sub-2022,33,0.5,0.5,9.0
sub-2022,34,1.0,0.0,15.0
sub-2022,35,1.0,0.0,18.0
sub-2022,36,1.0,0.0,12.0
sub-2022,37,0.5,-0.5,9.0
sub-2022,38,0.5,0.5,9.0
sub-2022,39,0.5,0.5,9.0
sub-2022,40,0.5,-0.5,9.0
sub-2022,41,0.5,-0.5,9.0
sub-2022,42,0.5,-0.5,9.0
sub-2022,43,0.5,-0.5,9.0
sub-2022,44,0.5,0.5,9.0
sub-2022,45,1.0,0.0,12.0
